siteid,amount,st
275,9780,стеллаж
275,8049,комод
275,6963,угловой диван цезарь
275,6367,диван
275,5073,шкаф
275,4842,кресло
275,4593,палермо
275,4570,шкаф купе
275,4159,матрас
275,4047,угловой диван
275,3789,полка
275,3758,кухня
275,3685,диван кровать
275,3583,кровать
275,3431,прихожая
275,3202,стенка
275,3116,тумба прикроватная
275,3012,0
275,2761,тахта
275,2654,тумба
275,2331,стул
275,2284,туалетный столик
275,2227,обувница
275,2212,пенал
275,2141,бася
275,2124,пуф
275,2122,стол компьютерный
275,1985,стол
275,1983,кухонный уголок
275,1921,кресло кровать
275,1699,сакура
275,1690,зеркало
275,1676,стол обеденный
275,1646,полка навесная
275,1640,тумба под тв
275,1616,5452
275,1501,виктория
275,1431,фиеста
275,1415,стеллажи
275,1319,стол журнальный
275,1237,стол письменный
275,1234,компьютерное кресло
275,1214,фортуна
275,1173,шкаф угловой
275,1165,лотос
275,1117,марта
275,1097,стол-книжка
275,1085,кухни
275,1077,дельфин
275,1043,4488
275,1032,стенки
275,1023,угловой шкаф
275,1016,диваны
275,983,детская кровать
275,977,угловой диван олимп-1
275,966,вешалка
275,963,кордон
275,961,матрасы
275,945,банкетка
275,937,двухъярусная кровать
275,932,шкаф фортуна
275,928,тумба для обуви
275,917,кресло-кровать
275,908,полки
275,905,макарена
275,899,марта 11
275,840,онега
275,802,комоды
275,785,спальня бася
275,782,компьютерный стол
275,768,лофт
275,743,диван выкатной
275,742,спальный гарнитур
275,735,кухня угловая
275,733,диван угловой
275,723,пуфик
275,722,табурет
275,717,5653
275,678,палермо юниор
275,677,буфет
275,670,стол книжка
275,666,амели
275,661,кресла
275,661,зеркало навесное
275,652,кресло мешок
275,652,кровать дельфин
275,640,5588
275,639,кресло качалка
275,625,письменный стол
275,624,венеция
275,616,кухня престиж
275,605,кровать сакура
275,601,вега
275,593,машенька
275,590,компьютерный стул
275,582,гостиная
275,576,моника
275,575,книжный шкаф
275,573,полка настенная
275,569,антресоль
275,561,софа
275,549,матрас optima
275,540,6089
275,538,журнальный столик
275,536,кухня рио
275,533,олимп
275,531,угловая кухня
275,526,стенка денвер
275,525,стул gn
275,524,кухонный угловой диван этюд
275,523,обеденная группа
275,522,кухонный диван
275,515,кухня софия
275,506,кровать с подъемным механизмом
275,500,трюмо
275,479,атлант
275,477,лира
275,477,шкаф бася
275,477,мийа
275,474,денвер
275,466,5188
275,459,дельфин 2
275,453,комфорт
275,449,атлантида
275,448,пуфы
275,443,столешница
275,440,белла
275,435,кровать чердак
275,434,стеллаж угловой
275,433,софия
275,430,диван книжка
275,427,стулья
275,424,5488
275,422,шкаф купе бася
275,419,барный стул
275,415,6195
275,413,5288
275,412,домино
275,410,глория
275,405,соло
275,403,барная стойка
275,402,стол трансформер
275,402,диван-кровать лира
275,400,стенка марта-11
275,397,кушетка
275,394,ронда
275,391,эко
275,390,прихожая машенька
275,384,спальня
275,383,шкаф навесной
275,380,матрас классик
275,379,тахта угловая
275,369,симпл
275,366,венето
275,365,кровать фиеста
275,364,цвет хром
275,359,шкаф пенал
275,358,кухня катя
275,356,марта 15
275,356,элегант
275,353,логика
275,353,пеналы
275,351,обувницы
275,350,катя
275,348,диван аккордеон
275,346,шкафы
275,344,книжная полка
275,343,наматрасник
275,341,1189
275,340,венский
275,340,кухня настя
275,339,кухонный гарнитур
275,338,диван амстердам
275,338,1199
275,329,"прихожая \"ника\""
275,329,стеновая панель
275,322,анна
275,321,диван-книжка кордон однотонный
275,319,2988
275,311,20000
275,308,алабама
275,306,шкаф-купе
275,305,угловой шкаф с зеркалом
275,305,5788
275,304,6688
275,304,шкаф-купе фортуна (маэстро)
275,304,мини стенка
275,303,габриэлла
275,301,диван виктория аккордеон 140
275,301,комплект скб
275,301,оскар
275,299,луиза
275,296,мойка
275,295,шкаф лотос
275,293,бланка
275,288,стенка макарена
275,287,1313
275,286,бергамо
275,284,2975
275,284,агава
275,282,угловые диваны
275,281,уголок кухонный
275,277,диван-кровать двухъярусная
275,275,детская
275,270,легенда
275,267,6299
275,267,стул-кресло
275,266,альянс
275,266,стол-книжка со
275,264,кровати
275,263,next
275,261,мона
275,261,витрина
275,260,кровать детская
275,259,комод лдсп 4 ящика
275,257,3888
275,257,"шкаф-купе \"лео\""
275,256,"кухня \"виола нео\""
275,255,виола
275,255,токио
275,253,акварель
275,252,амстердам
275,251,модерн
275,251,стол обеденный раскладной
275,250,диван фортуна (амстердам)
275,250,стелаж
275,246,тумбы
275,245,кресло-качалка
275,245,кухня симпл
275,245,ника
275,244,4688
275,243,диван атлант
275,242,диван-кровать
275,242,уголок школьника
275,241,алиса
275,239,тумба тв
275,237,туалетные столики
275,236,пилигрим
275,235,гармония
275,232,стенка диско
275,232,анна 1
275,232,скамья
275,231,светлана
275,229,монтана
275,225,аврора
275,225,шкаф палермо
275,225,зеркала
275,223,комод к800
275,222,диван фортуна
275,222,турин
275,220,комплект стол обеденный прямая нога (900) табурет прямая нога 4шт
275,218,угловая кухня классика
275,216,классика
275,216,атланта
275,216,3788
275,213,барселона
275,210,1088
275,209,сказка
275,208,10000
275,207,стол компьютерный ск-9
275,204,14000
275,204,письменный стол пс-02 с ящиками
275,204,ск-9
275,203,ева
275,203,6237
275,203,12000
275,201,шкаф эко
275,200,5000
275,199,"детская кровать дельфин мдф 1,6 м."
275,199,элегия
275,192,комфорт 12
275,192,лайт
275,191,лозанна
275,191,кровать детская двухъярусная с диван-кроватью
275,190,рио
275,190,комод вега
275,190,сервант
275,189,диско
275,188,кухня татьяна
275,184,стол туалетный
275,184,моника-1
275,184,дуэт
275,183,диван кордон
275,181,1079
275,181,шкаф купе элегант
275,181,премьер
275,181,лик-5
275,181,5589
275,181,кухня маша
275,180,банкетки
275,180,"бескаркасный диван \"solo"
275,179,шкаф сакура
275,177,диван детский
275,175,9488
275,174,стелла
275,174,ксения
275,172,сп-3
275,172,шкафы купе
275,172,квадро
275,171,диван виктория
275,170,умка
275,169,кресло выкатное
275,169,лаванда
275,169,пуфики
275,168,нексус
275,168,трельяж
275,167,нежность
275,166,модульная прихожая
275,166,вавилон
275,166,лаванда 2
275,165,4829
275,165,раскладушка
275,164,пекин
275,164,навесной шкаф
275,163,стол компьютерный угловой
275,161,угловой стол
275,161,6199
275,160,кровать-машинка
275,160,юнона
275,160,виктория 5
275,159,гостиная наоми
275,158,2989
275,157,детская кровать тачки
275,157,матрас стандарт кокос
275,156,шкаф витрина
275,155,пс-02
275,155,пенал фиеста
275,155,столик
275,155,комод к-5
275,153,кровать машина
275,153,журнальный стол
275,153,прованс
275,153,шкаф белла
275,153,банкетка мягкая ск
275,152,комо
275,152,шкаф машенька
275,151,шкаф-кровать
275,151,сиена
275,149,диван лира
275,149,европа
275,149,угловая кухни
275,148,полка угловая
275,148,стол со стеклом
275,147,кровать-чердак с диван-кроватью немо
275,147,мадрид
275,146,тиффани
275,145,стенка соло
275,145,стол журнальный №6
275,144,кровать палермо
275,144,юниор
275,143,этюд
275,143,мелисса
275,142,диван глория
275,141,компьютерные столы
275,141,подушка
275,141,волжанка
275,140,соло 6
275,140,тахта малютка
275,139,письменные столы
275,139,прихожая «домино - 4у»
275,138,туалетный стол
275,138,детская кровать дельфин
275,138,вытяжка
275,138,адель
275,136,угловые кухни
275,134,байкал
275,134,евро
275,134,болеро
275,134,кровать трансформер
275,133,шкаф-купе комфорт - 12 с прямым зеркалом (д2000 х в2200 х г603 мм)
275,133,стул изо
275,133,кухня массив
275,133,кухонный угловой диван
275,133,прихожие
275,132,комод угловой
275,132,3188
275,132,выкатной диван
275,131,тумбочка
275,130,ортопедическое основание
275,130,8568
275,130,аккордеон
275,130,диван вега
275,130,гламур
275,129,двухъярусная
275,129,тахта кордон
275,129,марта-11
275,128,олимп-1
275,128,тумба под обувь фиеста-2
275,128,столы журнальные
275,127,2089
275,127,прямая нога
275,127,стол тумба
275,127,виктория 2-1
275,126,челси
275,126,камод
275,126,выкатной диван париж
275,125,шкаф фиеста
275,124,диван олимп
275,123,модульная стенка ника-2
275,123,кровать-чердак
275,123,олива
275,122,престиж
275,121,кровать детская двухъярусная
275,121,1406
275,121,прихожая лофт
275,120,шкаф для книг
275,120,диван ручеёк клик-кляк (книжка)
275,120,шкаф кровать
275,120,киото
275,119,вешалки
275,119,стол под мойку
275,119,стол gh-
275,119,рио-2
275,118,стул стремянка
275,118,2189
275,118,хлоя
275,117,диван на кухню
275,117,татьяна
275,116,феникс
275,115,стол кухонный
275,115,боско
275,115,марта-15
275,114,флора
275,114,стенка евро
275,114,сити
275,113,марго
275,113,5459
275,112,стенка феррара
275,112,10989
275,111,джуниор
275,110,тв тумба
275,110,трансформер
275,109,модульная кухня
275,109,стенки в гостиную
275,108,диван виктория аккордеон 120
275,108,этажерка
275,108,маша
275,108,ручеек
275,108,6381
275,108,спальный гарнитур бася
275,107,детские кровати
275,107,кухня бостон
275,106,матрац
275,106,олеся
275,106,ривьера
275,106,берта
275,106,соренто
275,106,мешок
275,105,оскар 9
275,105,колледж
275,105,гринвуд
275,105,кухня классика
275,104,1989
275,104,жасмин
275,104,диван конкурент
275,104,табуреты
275,103,стол письменный мд 1.04
275,103,кровать массив
275,102,эрика
275,102,прихожая домино
275,101,6683
275,101,5654
275,101,флоренция
275,101,антресоли
275,101,мася
275,101,стол экстра
275,100,конти
275,100,шкаф ронда
275,100,евгения
275,100,столы
275,100,пенал ск-9
275,99,кухонный стол
275,99,бася 2.0
275,98,конкурент
275,98,лего
275,98,кровать лдсп
275,98,сп-2
275,98,кухонные уголок
275,98,тахта люкс
275,97,стул пекин
275,97,честер
275,97,комод с зеркалом
275,97,1889
275,97,париж
275,97,фортуна амстердам
275,97,немо
275,96,статус
275,96,тумбы под тв
275,96,диван честер
275,95,кровать 2-х ярусная мийа
275,95,7198
275,95,соната
275,95,дрима
275,95,оксфорд
275,95,шкаф 3-створочный с 2-мя ящиками
275,95,шкаф-купе бася-2
275,94,шкаф трехстворчатый
275,94,макарена эко
275,94,комод палермо
275,94,кресло лофт
275,94,гостиная атланта
275,93,фэнтези
275,93,кушетка кларис
275,93,стол круглый
275,93,прикроватная тумба
275,93,настя
275,93,1430
275,92,диваны книжка
275,92,мийя
275,92,клик-кляк
275,92,скб
275,92,стол обеденный прямая нога (900)
275,91,кровать детская трансформер
275,91,тумба под телевизор
275,91,стеллаж с хромированными опорами
275,91,стул хлоя
275,91,стол угловой
275,91,посудосушитель
275,90,мойка накладная
275,90,кровать машинка
275,90,19000
275,89,круглый стол
275,89,диван для кухни
275,89,9000
275,88,стенка марта
275,88,цезарь
275,88,вегас
275,88,комод фиеста
275,88,кресло пирамида
275,88,388
275,88,комод светлана
275,87,стенка соло-10а
275,87,машинка
275,87,купе
275,87,кантри
275,87,угловой
275,87,розалия
275,86,консоль
275,86,аура
275,86,фиджи коричнево-бежевый
275,86,диван атланта
275,86,макияжный стол
275,86,маэстро
275,86,5.18
275,85,4578
275,85,марвин
275,85,стул кресло
275,84,лидер
275,84,монако
275,84,диван еврокнижка
275,84,анна-1
275,84,угловой комод
275,84,1439
275,84,16079
275,84,уголок
275,83,угловой диван олимп (комо)
275,83,1288
275,83,диван-книжка кордон - флок
275,83,"кухня \"маша\" лдсп 2,0м"
275,82,тумбочки
275,82,диван вега-18
275,81,омега
275,81,для обуви
275,81,комод пеленальный
275,81,шкаф-купе фортуна (вавилон)
275,81,3000
275,81,вега 18
275,80,стол журнальный маджеста-6
275,80,мийа 3
275,79,угловой диван байкал
275,79,офисное кресло
275,79,5394
275,79,стелажи
275,78,жак
275,78,romack
275,78,тахты
275,78,валентина
275,78,бутылочница
275,78,стол журнальный №2
275,78,2079
275,78,6989
275,78,кресло для сотрудника
275,77,угловой стеллаж
275,77,"вешалка с зеркалом 1200 \"машенька\""
275,77,книжные полки
275,77,прихожая ксения-2
275,77,стол раскладной
275,77,шкаф книжный
275,77,лас-вегас
275,77,"кровать фиеста 1,6 м."
275,76,30000
275,76,орхидея
275,76,гармония 2
275,76,скамья угловая со спальным местом «домино»
275,76,диван-книжка
275,75,ручеёк
275,75,лайк
275,75,кресло для отдыха
275,75,арсения
275,75,6889
275,75,"кровать \"умка\" лдсп"
275,74,шкаф альянс
275,74,шкаф купе фортуна
275,74,магнат
275,74,прихожая мила
275,74,кухня боско
275,74,олимп 1
275,74,шкаф виктория
275,73,кухня олива
275,73,кухня симпл 2100 с нишей
275,73,лика
275,73,угол
275,73,кухня монако
275,73,флокс
275,73,уют
275,72,вешалка п-5
275,72,комплект мягкой мебели
275,72,оливия
275,72,диана
275,72,кровать двухъярусная
275,71,диван прямой
275,71,боровичи
275,71,надстройка
275,71,двери
275,71,брайтон
275,71,11000
275,71,массив
275,71,22000
275,71,шкаф однодверный
275,71,"кровать фиеста 1,4"
275,70,гостиная белла
275,70,шкаф для посуды
275,70,15000
275,70,вешалка напольная
275,70,кресла-качалки
275,70,кровать мелисса
275,69,5468
275,69,4988
275,69,7915
