distance	query	complete_suggestion	full_complete
2	плинтус потолочный gt	плинтус потолочный	плинтус потолочный nmc nomastyl gt
2	nw новороссийск	новороссийск	тц красная площадь новороссийск
1	выключатель таймером	выключатель с таймером	выключатель с таймером отключения для вентиляции
2	счетчик отопление	счетчик на отопление	счетчик на отопление в квартиру
2	санта 30	санта	пенал санта омега 30 подвесной
2	панепвх	панели пвх	панели пвх для ванной купить недорого в москве
2	затирка 40	затирка	затирка ceresit ce 40
2	санта 30	санта	шкаф-пенал санта ливерпуль 30 подвесной
2	панепвх	панели пвх	панели пвх стеновые каталог фото цена
2	панепвх	панели пвх	панели пвх для ванной
2	стол пласт	столплит	столплит мебель официальный сайт каталог распродажа
2	счетчик отопление	счетчик на отопление	как поставить счетчик на отопление в квартире многоквартирного дома
2	стол пласт	столплит	столплит официальный сайт
2	затирка 40	затирка	затирка церезит се 40 цвета палитра
1	выключатель таймером	выключатель с таймером	выключатель с таймером
2	стол пласт	столплит	столплит официальный сайт каталог цены
2	счетчик отопление	счетчик на отопление	счетчик на отопление
1	выключатель таймером	выключатель с таймером	выключатель с таймером отключения
2	санта 30	санта тh 30	тумба санта тh 30
2	nw новороссийск	новороссийск	тц красная площадь новороссийск официальный сайт
2	затирка 40	затирка се 40	затирка се 40
1	коврик ванну	коврик в ванну	антискользящий коврик в ванну для ребенка
2	шкаф туалеь	шкаф в туалет	шкаф в туалет
1	плитка кера ическая	плитка керамическая	плитка керамическая в ванную комнату
2	шкаф туалеь	шкаф в туалет	сантехнический шкаф в туалет
1	штанга шкаф	штанга в шкаф	штанга в шкаф для одежды
2	o ob	oops	oops, an error occurred.
1	коробка установочная сп d68х45	коробка установочная сп 68х45	коробка установочная сп 68х45 для г\/к гуси с3е3 евро
2	ковёр пп	ковёр	ковёр хит-сет пп valencia deluxe
1	кирамзито блоки	керамзитоблоки	керамзитоблоки размеры и цена
2	шкаф туалеь	шкаф в туалет	двери в сантехнический шкаф в туалет
1	коробка установочная сп d68х45	коробка установочная сп 68х45	коробка установочная сп 68х45 блочная гуси с3м3 евро
1	коврик ванну	коврик в ванну	коврик в ванну
2	ковёр пп	ковёр	ковёр бцф пп laguna
2	knauf 28х27	knauf пн 28х27	профиль направляющий knauf пн 28х27 мм 3м
2	контейнер для n j	контейнер для	контейнер для таблеток на неделю утро день вечер
2	ковёр пп	ковёр	ковёр фризе пп sunrise v817 0.6 1.1 м прямоугольный beige
2	le английский	английский	переводчик с русского на английский le
2	фунлента	фум-лента	фум-лента что это такое
2	knauf 28х27	knauf пн 28х27	профиль направляющий потолочный knauf пн 28х27 мм
1	фунлента	фум лента	фум лента для газа
1	кирамзито блоки	керамзитоблоки	керамзитоблоки отзывы владельцев домов
1	фунлента	фум лента	фум лента купить
1	коврик ванну	коврик в ванну	гидромассажный коврик в ванну с эффектом джакузи
1	коробка установочная сп d68х45	коробка установочная сп 68х45	коробка установочная сп 68х45 гуси с3м2 евро
1	мебельная петля доводчиком	мебельная петля с доводчиком	мебельная петля с доводчиком
1	плитка кера ическая	плитка керамическая	плитка керамическая настенная 20х30 цена за м2
1	панель короб	панель в короб	патч панель в короб
2	le английский	английский	пульт ду перевод на английский
2	le английский	английский	предложения с ду и дас английский
2	knauf 28х27	knauf пн 28х27	профиль направляющий потолочный knauf пн 28х27 мм 3000 мм
1	очиститель корпусной мебели ламината	очиститель корпусной мебели и ламината	очиститель корпусной мебели и ламината
2	труба 3м	труба	труба стальная нержавейка d 25.4мм толщ 4 мм длина 3м
