distance	query	complete_suggestion	full_complete
2	лц тумба	тумба	тумба лц т 50
1	светт	свет	свет твоей любви
2	грунт для по	грунт для	грунт для росписи по дереву
2	грунт для по	грунт для	грунт для декупажа по стеклу
2	грунт для по	грунт для	грунт для декупажа по металлу
1	светт	свет тв	свет тв
1	вагонка 33м	вагонка 33	вагонка 33
1	светт	свети	свети стефан
1	мозайка	мозаика	мозаика горловка
2	кабель ввгп-нг 3х2 5	кабель ввг-п нг а 3х2 5	кабель ввг-п нг(а) 3х2 5
1	кабель ввгп-нг 3х2 5	кабель ввг п нг 3х2 5	кабель ввг п нг 3х2 5 цена
1	мозайка	мозаика	мозаика плитка
1	обои большим рисунком	обои с большим рисунком	обои с большим рисунком
1	обои большим рисунком	обои с большим рисунком	купить обои с большим рисунком
1	мозайка	мозаїка	мозаїка це
1	витрина	вітрина	вітрина калуша
1	врезка бак	врезка в бак	врезка в бак 1/2
1	3з обои	3 обои	3 обои
1	врезка бак	врезка в бак	врезка в бак нержавейка
2	фильтры для воды накопителем	фильтр для воды с накопителем	фильтр для воды с накопителем
1	лампочки ватта	лампочки 2 ватта	лампочки 2 ватта
1	с доска	доска	доска с веслом
1	боро 2	боро	боро day 2 day care
1	с доска	доска	доска с парусом
1	фильтры для воды накопителем	фильтры для воды с накопителем	фильтры для воды с накопителем
1	с доска	доска	доска с гвоздями
1	ящик для к	ящик для	ящик для ключей к-20
1	ящик для к	ящик для	ящик для принадлежностей к кухне кп-30
1	врезка бак	врезка в бак	врезка в бак
2	смеситель для раковины в кухню	смеситель для раковины кухни	смеситель для раковины (кухни) рмс sl46-017f
1	фитинг и для тёплого пола	фитинги для теплого пола	фитинги для теплого пола купить минск
2	щетка металлическая дрель	щетка металлическая на дрель	щетка металлическая на дрель
1	светильник встраиваемый светодиодный вт свет тёплый белый	светильник встраиваемый светодиодный 7 вт свет тёплый белый	светильник встраиваемый светодиодный 7 вт свет тёплый белый
1	ванна k	ванна с	ванна с молоком
