distance	query	complete_suggestion	full_complete
0	звонок беспроводной	звонок беспроводной	звонок беспроводной купить
1	штукатрка	штукатурка	штукатурка стен
1	галовки	головки	головки купить
0	метчики	метчики	метчики и плашки купить в москве
0	аудио кабель	аудио кабель	аудио кабель 3.5 mm jack
0	вагонка пластиковая	вагонка пластиковая	вагонка пластиковая для внутренних работ цена
0	ножовка с мелким зубом	ножовка с мелким зубом	ножовка с мелким зубом по дереву
0	короба для труб	короба для труб	короба для труб в ванной
0	wood protect	wood protect	wood protect dufa способ нанесения отзывы
0	кронштейн для откидного стола	кронштейн для откидного стола	кронштейн для откидного стола леруа мерлен
0	ст 17	ст 17	ст 17 8 коап рф
0	водоочиститель	водоочиститель	водоочиститель многоступенчатый барьер expert hard
0	стеклянная перегородка	стеклянная перегородка	стеклянная перегородка для ванной
0	портьеры	портьеры	портьеры для зала
0	ткань мебельная	ткань мебельная	ткань мебельная обивочная купить
0	дюбели sormat	дюбели sormat	дюбели sormat каталог
0	сантехнический трос	сантехнический трос	сантехнический трос для прочистки канализации купить
0	стартолайн	стартолайн	стартолайн fc41 h стяжка высокопрочная основит
0	стопор дверной уличный	стопор дверной уличный	стопор дверной уличный купить
0	саморезы кровельные	саморезы кровельные	саморезы кровельные по металлу размеры таблица и цена
0	калипсо	калипсо	калипсо обувь официальный сайт
0	a043-sg-46e	a043-sg-46e	цепь champion a043-sg-46e
0	ягода виктория	ягода виктория	ягода виктория фото
1	лесницы	лестницы	лестницы для частного дома
0	коврик для пола	коврик для пола	коврик для пола крючком
0	шланг сливной для стиральной машины	шланг сливной для стиральной машины	шланг сливной для стиральной машины купить
0	finncolor oasis	finncolor oasis	finncolor oasis hall office
0	керамогранит grasaro loft	керамогранит grasaro loft	керамогранит grasaro loft 40x40 см 1.6 м2 цвет серый
0	порог разноуровневый	порог разноуровневый	порог разноуровневый 40х900мм перепад до 8мм дуб
0	гофротруба	гофротруба	гофротруба из нержавеющей стали
0	fiesta	fiesta	fiesta beach djerba 4
0	раковина под тумбу	раковина под тумбу	раковина под тумбу 50 см
0	душевые кабинки	душевые кабинки	душевые кабинки размеры фото цены
0	малка	малка	малка лоренц жж
0	луна	луна	луна сегодня
0	алюминиевый	алюминиевый	алюминиевый профиль купить
1	гибсокартон	гипсокартон	гипсокартон цена
0	краска для osb	краска для osb	краска для osb плит
0	отвёртка	отвёртка	отвёртка индикаторная как работает
0	наличник verda миланский орех	наличник verda миланский орех	наличник verda миланский орех 58х8х2150 мм
0	термостойкий шланг	термостойкий шланг	термостойкий шланг для пара
0	monica luxe	monica luxe	зеркало monica luxe 1000
0	рамка а4	рамка а4	рамка а4 для word
0	галоши	галоши	галоши на обувь мужские
0	35х35	35х35	уголок перфорированный 35х35 цена
0	стеллаж деревянный	стеллаж деревянный	стеллаж деревянный леруа мерлен
0	3 5х25	3 5х25	саморез 3 5х25
0	tikkurila	tikkurila	tikkurila официальный сайт
0	штепсельная розетка	штепсельная розетка	штепсельная розетка что это такое
0	электроплитка	электроплитка	электроплитка двухкомфорочная настольная
0	кран для канистры	кран для канистры	кран для канистры 20л
0	тряпка для	тряпка для	тряпка для мытья пола
0	зажим винтовой	зажим винтовой	зажим винтовой зви-10 1.5-6мм2 12пар tdm
0	мотокультиватор	мотокультиватор	мотокультиватор крот
1	м 140-	м 140	м 140 ао
1	полоса алюминевая	полоса алюминиевая	полоса алюминиевая 3мм
0	пвх панели	пвх панели	пвх панели для ванной
0	клей аква	клей аква	клей аква стоп
0	наждачный круг	наждачный круг	наждачный круг 6 букв сканворд
0	элемент пола	элемент пола	элемент пола кнауф
0	альвано	альвано	альвано плитка
0	металлопластик	металлопластик	металлопластик труба
