distance	query	complete_suggestion	full_complete
1	электро првода	электропривода	электропривода для распашных ворот
1	цилиндр ключвертушка	цилиндр ключ-вертушка	цилиндр ключ-вертушка 30\/50 матовый хром
2	газовая го	газовая	газовая инфракрасная горелка комфорт го 4-у умница воронеж купить
2	на рейку	рейку	контактор на дин рейку
2	ел lighting	lighting	tk lighting светильники официальный сайт
1	шкаф подвесной туалет	шкаф подвесной в туалет	шкаф подвесной в туалет
2	ел lighting	lighting	tk lighting официальный сайт светильники
1	электро првода	электропривода	электропривода на окна
2	полки дсп	полки из дсп	полки из дсп своими руками
2	ел lighting	lighting	tk lighting официальный сайт
1	электро првода	электропривода	электропривода для запорной арматуры
2	обои флизелиновый	обои на флизелиновый	можно ли клеить виниловые обои на флизелиновый клей
1	цилиндр ключвертушка	цилиндр ключ-вертушка	цилиндр ключ-вертушка купить
1	кронштейн г	кронштейн	кронштейн г-образный фасадный
1	2 dls0500	dls0500	основы dls 2 500 шт 1.5 мм corte dls0500
1	фитинг накидной гайкой	фитинг с накидной гайкой	фитинг с накидной гайкой 1\/2
2	полки дсп	полки из дсп	полки из дсп
2	на рейку	рейку	нулевая шина на дин рейку
1	завертка ключом	завертка с ключом	завертка с ключом купить
2	доска пол	доска на пол	доска на пол в дом
2	газовая го	газовая	газовая инфракрасная горелка комфорт го 4.8 квт умница
2	подставка под nv	подставка под	подставка под nvidia shield tv
2	на рейку	рейку	шина нулевая на дин рейку
2	к2 r3 к7	к2 к7	аквафор к3 к2 к7 купить
2	к2 r3 к7	к2 к7	сменные картриджи аквафор кристалл к3 к2 к7
1	раковина тумбой	раковина с тумбой	раковина с тумбой
2	лампа 27 светодиодная	лампа светодиодная	лампа светодиодная r63 220 в е 27
1	раковина тумбой	раковина с тумбой	раковина с тумбой в ванную комнату
2	лампа 27 светодиодная	лампа светодиодная	лампа светодиодная 10w 27 2700k a60 rev схема драйвера
