distance	query	complete_suggestion	full_complete
2	пуховик max co	пуховик max	пуховик max mara weekend
1	платье maxmara	платья max mara	платья max mara
2	пальто max co	пальто max	пальто max mara копии
2	пуховик max co	пуховик max	пуховик max mara weekend
2	платье max co	платье max	платье max mara цена
2	юбка max co	юбка max	юбка max mara weekend
2	платье max co	платье max	платье max mara weekend
2	пальто max co	пальто max	пальто max mara копии
1	smaxmara	max mara	max mara coat
1	шарф maxmara	шарфы max mara	шарфы max mara
1	maxmara юбка	max mara юбки	max mara юбки
2	kor dügüm	kordugum	kordugum son bolum
1	smaxmara	max mara	max mara jacket
1	smaxmara	max mara	max mara uk
2	куртка max co	куртка max	куртка max challenge down jacket
1	weekend maxmara сумка	weekend max mara сумки	weekend max mara сумки
1	юбка maxmara	юбки max mara	юбки max mara
2	пальто max co	пальто max	пальто max mara купить
2	платье max co	платье max	платье max mara цена
2	платье max co	платье max	платье max mara weekend
2	пальто max co	пальто max	пальто max mara копии
1	max mar	max mara	max mara online shop
1	max mar	max mara	max mara uk
2	брюки max co	брюки max	брюки max mara фото
1	сумка maxmara	сумки max mara	сумки max mara
2	maxmara платок	max mara платки	max mara платки
2	пальто max co	пальто max	пальто max mara копии
1	weekend maxmara пуховик	weekend max mara пуховики	weekend max mara пуховики
2	джинсы max co	джинсы max	джинсы max mara weekend
2	парка max co	парка max	парка max mara weekend
2	брюки max co	брюки max	брюки max mara фото
2	пальто max co	пальто max	пальто max mara купить
2	платье полоска max mara	платье в полоску max mara	платье в полоску max mara
1	сумки maxmara	сумка max mara	сумка max mara
1	бр ки	брюки	брюки
1	weekend maxmara юька	weekend max mara юбка	weekend max mara юбка
2	перчатки и варежки меховые	перчатки варежки меховые	перчатки варежки меховые
2	кардиган max co	кардиган max	купить кардиган max fashion
1	maxmara юбки	max mara юбка	max mara юбка
2	свитер max co	свитер max	свитер max mara weekend
2	юбка max co	юбка max	юбка max mara weekend
2	spot max code	sportmax code	sportmax code
1	пальто из шерсти и альпаки	пальто из шерсти альпаки	пальто из шерсти альпаки купить украина
2	brooks b	brooks b17	brooks b17
1	ermanno s	ermanno	ermanno balzi s.r.l
2	пальто из шерсти и альпаки	пальто из шерсти альпаки	пальто из шерсти альпаки
2	тренч max co	тренч max	тренч max mara купить
2	hudra quench intensive serum bi-phase	hydraquench intensive serum bi-phase	hydraquench intensive serum bi-phase
1	bluegirl	blugirl	blugirl bags
1	bluegirl	blugirl	blugirl blumarine
1	сумка maxmara	сумки max mara	сумки max mara
2	elizabeth’s franchi	elizabeth franchi	elizabeth franchi официальный сайт
2	marc jacobs’s	marc jacobs	marc jacobs bootleg grunge tee
2	marc jakob's	marc jakob	marc jakob uhren
2	marc jacobs’s	marc jacobs	marc jacobs
2	костюм max co	костюм max	костюм max fuchs smock woodland
2	dsqvared	dsquared2	dsquared2
1	dsqvared	dsquared	dsquared jeans
2	marc jacobs’s	marc jacobs	marc jacobs daisy
1	s’ maxmara cube	s max mara cube	s max mara cube
2	conagra by	conagra	conagra owned by monsanto
2	conagra by	conagra	conagra owned by
2	conagra by	conagra	conagra sales by brand
1	пальто 1	пальто	пальто склонение 1 2 3
1	эко-кожа	экокожа	экокожа era
1	эко-кожа	экокожа	экокожа
1	эко-кожа	экокожа	экокожа это
2	trucco line	trucco on line	trucco on line vendita
1	пальто 1	пальто	пальто девочке 1 год
1	платье mimisol	платья mimisol	платья mimisol
1	пальто 1	пальто	пальто на 1 пуговице
1	для авто документов	для автодокументов	для автодокументов
2	для авто документов	для авто документы	для авто документы
2	чулки сеткой	чулки сетка	чулки сетка купить киев
2	чулки сеткой	чулки сетка	чулки сетка купить спб
1	лыжный к	лыжный	лыжный модуль к мотособаке
1	lovemp	love mp3	love mp3
1	lovemp	love mp3	love mp3 song
1	лыжный к	лыжный	лыжный модуль к мотобуксировщику
2	чулки сеткой	чулки сетка с	чулки сетка с чем носить
2	lovemp	love	ringtones love
1	лыжный к	лыжный 4 к	лыжный 4 к 1
