distance	query	complete_suggestion	full_complete
0	Palermo	palermo	palermo fc
0	кровать немо	кровать немо	кровать немо 2
0	кресло-кровать	кресло-кровать	кресло-кровать нижний новгород
0	Стол-книжка ААА	стол-книжка ааа	стол-книжка ааа
0	Тахта Ракушка	тахта ракушка	тахта ракушка
1	Стенка  Лаванда-1	стенка лаванда 1	стенка лаванда 1
0	Диваны выкатные	диваны выкатные	диваны выкатные недорого
0	Угловой комод	угловой комод	угловой комод под телевизор
0	Кухонный диван  Этюд	кухонный диван этюд	кухонный диван этюд облегченный
0	маэстро	маэстро	маэстро нижний новгород
0	детские кухни	детские кухни	детские кухни полесье
0	комплект скб	комплект скб	комплект скб элегия отзывы
0	лотос диван	лотос диван	лотос диван
0	Стол компьютерный с надстройкой	стол компьютерный с надстройкой	стол компьютерный с надстройкой фото
0	Диван еврокнижка Амстердам	диван еврокнижка амстердам	диван еврокнижка амстердам мини
0	тахта софт	тахта софт	тахта софт отзывы
0	Стол	стол	стол трансформер
0	Стол компьютерный	стол компьютерный	стол компьютерный угловой
0	лотос угловой	лотос угловой	лотос угловой диван
0	елена 4	елена 4	елена 4 прихожая
1	Диван аккардеон	диван аккордеон	диван аккордеон купить
0	Грета	грета	грета гарбо
0	зеркало для ванной	зеркало для ванной	зеркало для ванной с подсветкой
0	Элегант 2	элегант 2	элегант 2 на гранту
1	кровать сакура 1,6	кровать сакура 1 6	кровать сакура 1 6 м
0	кресло	кресло	кресло мешок
0	машенька 2	машенька 2	машенька 2
0	милтон	милтон	милтон фридман
1	1,5м	1 5м	1 5м в см
0	спальный гарнитур европа	спальный гарнитур европа	спальный гарнитур европа
0	Шкаф Аврора	шкаф аврора	шкаф аврора
0	Шкаф бася	шкаф бася	шкаф бася нижний новгород
0	шкаф ривьера	шкаф ривьера	шкаф ривьера трия
0	угловой кухонный гарнитур	угловой кухонный гарнитур	угловой кухонный гарнитур для маленькой кухни
0	белый глянец	белый глянец	белый глянец натяжной потолок
0	Стандарт кокос	стандарт кокос	biba стандарт кокос
0	лидер	лидер	лидер нн
0	Соло 7	соло 7	соло 7 микролаб
2	кровать меллиса	кровать мелисса	кровать мелисса
0	Диванчик	диванчик	диванчик на кухню нижний новгород
0	Стул Венский	стул венский	стул венский купить
0	олимп м15	олимп м 15	олимп м 15
1	столечницы	столешницы	столешницы для кухни
0	ВЕШАЛКА	вешалка	вешалка напольная
0	компьютерный стол варяг 3	компьютерный стол варяг 3	компьютерный стол варяг 3
0	стиль 2	стиль 2	стиль 2 империи
0	соло 9	соло 9	соло 9 гостиная
0	столик трансформер	столик трансформер	столик трансформер для ноутбука
1	Кровать Рио-2	кровать рио 2	кровать рио 2
0	стол 1	стол 1	стол 1 диета
1	стенку нежность	стенка нежность	стенка нежность
0	столешница	столешница	столешница икеа
0	Шкаф купе фортуна	шкаф купе фортуна	шкаф купе фортуна отзывы
0	Стенка глянец	стенка глянец	стенка глянец люкс 11
0	стол обеденный раскладной круглый	стол обеденный раскладной круглый	стол обеденный раскладной круглый
1	Пенал для шкафа	пеналы для шкафа	пеналы для шкафа
0	марта шкаф	марта шкаф	марта шкаф
0	стенка евро	стенка евро	стенка евро 2
0	Табуреты	табуреты	табуреты для кухни
0	шкаф-витрина	шкаф-витрина	шкаф-витрина для посуды
0	Кухонная скамья	кухонная скамья	кухонная скамья угловая
0	модуль	модуль	модуль юнга
0	кухонный угловой диван	кухонный угловой диван	кухонный угловой диван со спальным местом
0	Зеркало на колесах	зеркало на колесах	зеркало на колесах купить
0	элегант	элегант	элегант саров
0	кресло отдыха глория-эконом 2	кресло отдыха глория-эконом 2	кресло отдыха глория-эконом 2
0	стенка дуб сонома	стенка дуб сонома	стенка дуб сонома
0	детская алиса	детская алиса	детская алиса мебельсон
0	кухня классика	кухня классика	кухня классика светлая
0	палермо шкаф	палермо шкаф	палермо шкаф
0	прихожая ксения	прихожая ксения	прихожая ксения 2
0	Стенка  Олимп М01	стенка олимп м01	стенка олимп м01
0	стенка сонома	стенка сонома	стенка сонома
0	ФИЕСТА	фиеста	фиеста саров
1	Шкаф комбинированный Кармен-7Н	шкаф комбинированный кармен-7	шкаф комбинированный кармен-7
0	палермо стол	палермо стол	палермо стол туалетный
0	стеновая панель с фотопечатью	стеновая панель с фотопечатью	стеновая панель с фотопечатью цена
0	отдельные предметы кухни	отдельные предметы кухни	отдельные предметы кухни
0	защитный наматрасник	защитный наматрасник	защитный наматрасник купить
0	кухня Виола	кухня виола	кухня виола оби отзывы
0	Высокий стул	высокий стул	высокий стул икеа
0	тумба под обувь	тумба под обувь	тумба под обувь своими руками
0	кровать чердак детская	кровать чердак детская	кровать чердак детская фото
0	диана	диана	диана найкова
0	стол тумба на кухню	стол тумба на кухню	стол тумба на кухню купить
0	шкаф кухонный	шкаф кухонный	шкаф кухонный икеа
0	Шкаф-купе	шкаф-купе	шкаф-купе в прихожую
0	стул с	стул с	стул с кровью
0	угловые кухонные диваны	угловые кухонные диваны	угловые кухонные диваны спб
1	гостиная берта-1	гостиная берта 1	гостиная берта 1
0	многофункциональный стол для кухни	многофункциональный стол для кухни	многофункциональный стол для кухни
0	Стул пекин	стул пекин	стул пекин хром
0	тахта ева	тахта ева	тахта ева
1	стенка соло-10а	стенка соло 10а	стенка соло 10а
0	ШКАФ ОТКРЫТЫЙ	шкаф открытый	шкаф открытый для документов
1	угловой диван в кухню с спальным местом	угловой диван в кухню со спальным местом	угловой диван в кухню со спальным местом
0	шкаф светлана	шкаф светлана	шкаф светлана
0	прованс	прованс	прованс стиль
0	Квадро	квадро	квадро пицца
0	Прихожая селена	прихожая селена	прихожая селена 2
0	Детский стул	детский стул	детский стул икеа
0	Кр-001	кр-001	кр-001 для свч
1	стелаж	стеллаж	стеллаж икеа
0	Матрас  800х1400	матрас 800х1400	матрас 800х1400
0	Лаванда	лаванда	лаванда браун
2	детская кровать дельфин-2 мдф 1,6 м	детская кровать дельфин-2 мдф 1 6м	детская кровать дельфин-2 мдф 1 6м
0	мягкое кресло	мягкое кресло	мягкое кресло мешок
2	Ксенья 2	ксения	ксения собчак дом 2
0	гимназист	гимназист	гимназист нн
1	HV-23	hv 23	hv 23
0	Симпл	симпл	симпл кс го
1	к-04	к 04	к 04
0	альянс-3 2000	альянс-3 2000	шкаф-купе альянс-3 2000
0	onega	onega	onega lake
0	кровать еврокнижка	кровать еврокнижка	кровать еврокнижка своими руками
0	пенал для посуды	пенал для посуды	пенал для посуды на кухню
0	Шкаф-купе белый  Фортуна	шкаф-купе белый фортуна	шкаф-купе белый фортуна
0	Диван-кровать Лира	диван-кровать лира	диван-кровать лира 1700
0	комплект мягкой мебели	комплект мягкой мебели	комплект мягкой мебели фараон
0	Тумба прикроватная верона	тумба прикроватная верона	тумба прикроватная верона
0	Фиеста	фиеста	фиеста саров
0	кресло офисное	кресло офисное	кресло офисное купить нижний новгород
0	Лира 1700	лира 1700	лира 1700
0	тиффани	тиффани	тиффани бар
0	вегас	вегас	вегас москва
2	Стол компьютерный №7	стол компьютерный	стол компьютерный костер 7
0	софия	софия	софия ротару
0	стул для персонала	стул для персонала	стул для персонала и посетителей изо
0	угловой диван виктория 3-1  дельфин	угловой диван виктория 3-1 дельфин	угловой диван виктория 3-1 (дельфин)
1	двудверный шкаф с ящиками	двухдверный шкаф с ящиками	двухдверный шкаф с ящиками
0	Угловой диван Виктория 2-1	угловой диван виктория 2-1	угловой диван виктория 2-1 отзывы
0	элегия	элегия	элегия некрасов
0	Атлантида 6	атлантида 6	атлантида 6 серия
0	комод цвет сонома	комод цвет сонома	комод цвет сонома
0	Шкаф трехстворчатый фиеста	шкаф трехстворчатый фиеста	шкаф трехстворчатый фиеста
0	Угловой диван со спальным	угловой диван со спальным	угловой диван со спальным местом
0	Прихожая Леон  Лира	прихожая леон лира	прихожая леон (лира)
0	Софи гостиная	софи гостиная	софи гостиная
1	кардон	кордон	кордон блю
0	лофт 2	лофт 2	лофт 2 москва
0	стол компьютерный ск-9	стол компьютерный ск-9	стол компьютерный ск-9 феникс
0	феникс	феникс	феникс нижний новгород
0	кровать односпальную	кровать односпальную	кровать односпальную купить
0	эконом	эконом	эконом доставка
0	комод лофт	комод лофт	комод лофт хофф
0	вешалка машенька	вешалка машенька	вешалка машенька
0	диваны для кухни	диваны для кухни	диваны для кухни фото
0	Амадеус	амадеус	амадеус это
0	Пенал София	пенал софия	пенал софия прекрасная
0	стул компьютерный	стул компьютерный	стул компьютерный детский
0	пуфик со спинкой	пуфик со спинкой	пуфик со спинкой купить
0	диван барселона	диван барселона	диван барселона купить
0	кушетки	кушетки	кушетки в нижнем новгороде
0	каньон	каньон	каньон саров
0	полукруглый диван	полукруглый диван	полукруглый диван купить
0	Кресло для отдыха Кордон	кресло для отдыха кордон	кресло для отдыха кордон
0	Кордон	кордон	кордон это
0	Сиена-м	сиена-м	диван сиена-м
0	стенка флоренция	стенка флоренция	стенка флоренция 5
0	квадро угловой	квадро угловой	квадро угловой диван
0	виктория комод	виктория комод	виктория комод
0	тина	тина	тина кароль
0	шк-9	шк-9	шкаф шк-9
1	шкаф-купе комфорт 12	шкаф купе комфорт 12	шкаф купе комфорт 12
0	Диван Сиена	диван сиена	диван сиена кайрос
0	кухня сакура	кухня сакура	кухня сакура 4
0	кухня изабелла	кухня изабелла	кухня изабелла отзывы
0	Раздвижная кровать	раздвижная кровать	раздвижная кровать икеа
