distance	query	complete_suggestion	full_complete
0	андерсен	андерсен	андерсен сказки
0	Arlekino	arlekino	arlekino nn
0	к-6	к-6	к-6 колпачок
0	Шифоньер	шифоньер	шифоньер это
0	скб	скб	скб контур
0	виза	виза	виза в сша
0	офисные кресла	офисные кресла	офисные кресла купить нижний новгород
0	диван двуспальный	диван двуспальный	диван двуспальный размеры
0	Кровать с бортиками и ящиками	кровать с бортиками и ящиками	детская кровать с бортиками и ящиками
0	Лером	лером	лером стенки
0	Кроватки для новорожденных	кроватки для новорожденных	кроватки для новорожденных купить в нижнем новгороде
0	Прихожая эгида 14	прихожая эгида 14	прихожая эгида 14
0	б 5	б 5	б 5 витамин
0	римские шторы	римские шторы	римские шторы на кухню
0	Метро	метро	метро москва
0	трио	трио	трио из питера
0	2.03	2.03	2.03 знак зодиака
0	ямакс	ямакс	ямакс авто
0	ротанг	ротанг	ротанг купить
0	китти	китти	китти дженовезе
0	передняя панель для посудомоечной машины	передняя панель для посудомоечной машины	передняя панель для посудомоечной машины
0	банкет	банкет	банкет это
1	Венето	вегето	вегето сосудистая дистония
0	сламбер кушетка	сламбер кушетка	сламбер кушетка
1	вокантное	вакантное	вакантное место
1	Эконом МАКСИ	эконом такси	макси эконом такси сумы
0	евротахта	евротахта	евротахта шаговый механизм
0	схема сборки кресла	схема сборки кресла	схема сборки кресла престиж
0	кухня сиреневая	кухня сиреневая	кухня сиреневая с черным
0	клео	клео	клео самп
1	Плэй	плей	плей маркет
1	В97	d97	d97 příbram praha 2018
0	кордо	кордо	кордо сергей николаевич
0	изо	изо	изо всех сил
0	СКБ	скб	скб контур
0	стеллаж техно	стеллаж техно	стеллаж техно
0	стол ученический	стол ученический	стол ученический регулируемый по высоте
0	рапсодия	рапсодия	рапсодия это
0	ДЛЯ ПЕЛЕНАНИЯ	для пеленания	для пеленания доска
1	Косар 1	корсар 1	корсар 1
0	м01	м01	м01 сталь
0	хит	хит	хит фм
0	7.17	7.17	7.17 коап
0	арлекино	арлекино	арлекино 52
0	бормио	бормио	бормио италия
0	06.40	06.40	06.40 dalam bahasa inggris
0	п-1	п-1	п-1 статистика
0	Раскладные кресла	раскладные кресла	раскладные кресла в нижнем новгороде
1	к-04	к-04	к04 5
0	Шансон	шансон	шансон слушать бесплатно
0	амелия	амелия	амелия имя
0	диван рейн	диван рейн	диван рейн угловой
0	Н64	н64	н64 ромы
0	Кухонный фартук	кухонный фартук	кухонный фартук нижний новгород
0	Rival	rival	rival 100
0	белфаст	белфаст	белфаст бони м
0	17.09	17.09	17.09 знак зодиака
0	столик под швейную машинку	столик под швейную машинку	столик под швейную машинку своими руками
1	н66	y66	y66 vivo features
0	нира	нира	нира это
0	Импрессо	импрессо	импрессо кофе
0	самовывоз товара	самовывоз товара	самовывоз товара в договоре
0	Складные табуретки	складные табуретки	складные табуретки на кухню
0	Крова	крова	крова summoners war
0	Шторы	шторы	шторы икеа
1	крес	кресс	кресс салат
0	Кресла геймерские	кресла геймерские	кресла геймерские
0	Улан Удэ	улан удэ	улан удэ время
0	тверь	тверь	тверь время
0	Стеклянный	стеклянный	стеклянный человек
0	милае	милае	милае пони
0	Консул	консул	консул часы
0	дубаи	дубаи	дубаи погода
1	Н53	y53	y53 vivo
0	сж	сж	сж это
0	как выглядит волкодав	как выглядит волкодав	как выглядит волкодав фото
1	н65	y65	y65 vivo
0	чарли	чарли	чарли чаплин
1	борт к кровате	борт к кровати	борт к кровати
0	Дк	дк	дк газ
0	Диван лодочка	диван лодочка	диван лодочка спб
0	лео	лео	лео и тиг
0	прихожая муза	прихожая муза	прихожая муза
0	н55	н55	н 55 бмв
0	12.02	12.02	12.02 знак зодиака
0	стол для макияжа	стол для макияжа	стол для макияжа купить
0	city	city	city car driving
0	12.011	12.011	12.011 amu to grams
0	скали	скали	скали скайрим
0	7.28	7.28	7.28 коап
2	тумбо под ракавину	тумба под раковину	тумба под раковину
0	МОЙ ЗАКАЗ	мой заказ	мой заказ додо
0	швейный стол	швейный стол	швейный стол комфорт
0	10.01	10.01	10.01 счет
1	кресло папассан	кресло папасан	кресло папасан отзывы
0	ласточка	ласточка	ласточка поезд
0	британика	британика	британика корабль
0	Пуфики	пуфики	пуфики нижний новгород
0	купить кресло в Костроме	купить кресло в костроме	купить кресло в костроме
0	мдф	мдф	мдф панели
0	кровать плаза	кровать плаза	кровать плаза
0	Лавка	лавка	лавка чудес
0	5.24	5.24	5.24 коап
0	8.05	8.05	8.05 по английски
0	кровати муром	кровати муром	кровати муром мебель
0	альбома	альбома	альбома innuendo
0	Кухонные раскладные столы	кухонные раскладные столы	кухонные раскладные столы киров
0	мебель для ванных	мебель для ванных	мебель для ванных комнат
0	Рулонные шторы	рулонные шторы	рулонные шторы нижний новгород
0	лимп	лимп	лимп бизкит
1	кровать арсения	кровать арсений	кровать арсений
0	стол обеденный орфей	стол обеденный орфей	стол обеденный орфей 1.2
0	Тележка	тележка	тележка парикмахерская
0	Спортивный	спортивный	спортивный костюм
0	16.01	16.01	16.01 19 грузия
0	промо код	промо код	промо код аптека ру
0	диван угловой левосторонний	диван угловой левосторонний	диван угловой левосторонний
0	новинки	новинки	новинки кино 2108
0	вешалка костюмная	вешалка костюмная	вешалка костюмная напольная
1	кити	китти	китти квин
0	Пенал в ванную	пенал в ванную	пенал в ванную комнату
0	Полуторная кровать	полуторная кровать	полуторная кровать размер
0	Пуше	пуше	пуше мебель
0	стул мастера	стул мастера	стул мастера нижний новгород
0	траумберг	траумберг	траумберг диван
2	ВС-1200	dc-1200	dc-1200 м
0	Эдвард 5	эдвард 5	эдвард 5 стенка
0	06.39	06.39	icd 9 06.39
0	Гостинную	гостинную	гостинную или гостиную
0	гримерный столик	гримерный столик	гримерный столик купить
0	д5	д5	д5 аккорд
0	Н54	н54	н54 бмв
0	в10в	в10в	вольво в10в
0	Двух ярусные	двух ярусные	двух ярусные потолки
1	диван не разборной	диван не разборный	диван не разборный
0	журнальный столик стеклянный	журнальный столик стеклянный	журнальный столик стеклянный икеа
0	бахчеджи	бахчеджи	бахчеджи или мемориал
0	зонт	зонт	зонт онлайн
0	Миа	миа	миа гот
0	пск	пск	пск перевоз
0	торонто	торонто	торонто время
0	геймерское	геймерское	геймерское кресло
0	стд	стд	стд петрович
0	поп-арт	поп-арт	поп-арт это
0	реклайнер	реклайнер	реклайнер это
0	к 6	к 6	к 6 часам это сколько
2	в3в	d3d	d3d error
0	женева	женева	женева часы
0	пенал в ванну угловой	пенал в ванну угловой	пенал в ванну угловой
0	Стул для салона красоты	стул для салона красоты	стул для салона красоты украина
0	Н72	н72	н72 нокиа
0	2.02	2.02	2.02 знак зодиака
0	Севилья 3	севилья 3	севилья 3 кровать
0	Раздвижные перегородки	раздвижные перегородки	раздвижные перегородки нижний новгород
0	берег	берег	берег нижний новгород
0	Розничные магазины	розничные магазины	розничные магазины это
0	Щенячий	щенячий	щенячий патруль 2018
1	в29	d29	d29 diode
0	э	э	э рон дон дон
0	чарм	чарм	чарм инвентаря
0	брак	брак	брак это
0	sofia	sofia	sofia jamora
0	Шкафчик над газовой плитой	шкафчик над газовой плитой	шкафчик над газовой плитой
0	комод подвесной	комод подвесной	комод подвесной
0	П-4	п-4	п-4 нз
0	шку	шку	шку бул
0	в4в	в4в	в4в промо
0	СТОЛ РОМЕО	стол ромео	стол ромео с плиткой
0	идель	идель	идель 001-1
0	полка в ванную	полка в ванную	полка в ванную икеа
0	5.15	5.15	5.15 дюймов в см
0	секретер	секретер	секретер это
0	стиральной	стиральной	стиральной машины
0	8.02	8.02	8.02 знак зодиака
0	Мирабелла	мирабелла	мирабелла эрвин
0	Брак	брак	брак это
0	В10в	в10в	вольво в10в
0	угловой диван монреаль	угловой диван монреаль	угловой диван монреаль хофф
0	Адрес магазина	адрес магазина	адрес магазина икеа в нижнем новгороде
0	диван берг	диван берг	диван берг много мебели
0	офисная мебель	офисная мебель	офисная мебель нижний новгород
0	встроенные шкафы	встроенные шкафы	встроенные шкафы купе нижний новгород
0	майами	майами	майами время
1	Стелаж для зонирования комнаты	стеллаж для зонирования комнаты	стеллаж для зонирования комнаты
0	томск	томск	томск время
0	новара	новара	новара италия
0	Нэнси	нэнси	нэнси дрю
0	с широким штапиком	с широким штапиком	стенка макарена с широким штапиком
0	деван	деван	деван дубник
0	Диван Маршал 2 эко	диван маршал 2 эко	диван маршал 2 эко
0	Стол пассаж	стол пассаж	стол пассаж 1600
0	бескаркасные диваны	бескаркасные диваны	бескаркасные диваны купить
0	стенка лима	стенка лима	стенка лима сборка
0	eames pc-306	eames pc-306	eames pc-306
1	н94	y94	y94 mercedes
0	А	а	а судьи кто
1	Шкаф одностворчетый	шкаф одностворчатый	шкаф одностворчатый
1	кресло карина	кресло карины	кресло карины стримерши
0	кровать-машинка romack kiddy	кровать-машинка romack kiddy	кровать-машинка romack kiddy
0	османа	османа	османа i
0	Диван с оттоманкой	диван с оттоманкой	диван с оттоманкой фото
0	Двухъярусную кровать	двухъярусную кровать	двухъярусную кровать купить
0	сламбер	сламбер	сламбер лабиринты сна
0	кресло качалку	кресло качалку	кресло качалку купить
0	Стол книжку	стол книжку	стол книжку купить
0	Статьи	статьи	статьи ук рф
0	бумеранг	бумеранг	бумеранг добра
0	александр	александр	александр петров
0	боск	боск	боск плюс
0	сиеста	сиеста	сиеста это
0	Маникюрный стол	маникюрный стол	маникюрный стол нижний новгород
0	ПУФ	пуф	пуф 52
1	Филиция	фелиция	фелиция харди
0	фуджи	фуджи	фуджи цемент
0	рокки	рокки	рокки 4
0	полонез	полонез	полонез огинского слушать
0	диван кензо	диван кензо	диван кензо
1	банка специя	банка специи	банка специи
0	М	м	м видео
0	полки этажерки	полки этажерки	полки этажерки стеллажи
0	самовывоз	самовывоз	самовывоз это
0	корон	корон	корон палаван
0	капля	капля	капля принца руперта
0	Детские кровати с защитой	детские кровати с защитой	детские кровати с защитой
0	полка александрия	полка александрия	полка александрия
0	амстер	амстер	амстер пиво
2	Амадеус	амадей	амадей фильм
0	рио	рио	рио магазины
0	холодос	холодос	холодос это
0	бра	бра	бра род
0	бланко	бланко	бланко официальный сайт
1	шкаф-кровать подъемная	шкаф-кровать подъемная	шкаф кровать подъемная
0	п-5	п-5	п-5 (м)
0	кожаные диваны с креслами	кожаные диваны с креслами	кожаные диваны с креслами
1	сиена	сиенна	сиенна миллер
0	Н55	н55	н 55 бмв
0	СТЕНКА МАРОККО	стенка марокко	стенка марокко
0	ХОЗЯЙСТВЕННЫЙ ШКАФ	хозяйственный шкаф	хозяйственный шкаф в коридоре
0	Этажерка	этажерка	этажерка для обуви
2	кровать жанет	кровать жанетта	кровать жанетта пинскдрев
0	Кровать полуторку	кровать полуторку	кровать полуторку
0	Триан	триан	триан 5
0	Угловой диван Дудинка	угловой диван дудинка	угловой диван дудинка (фабрика москва )
0	юлия	юлия	юлия деллос
0	11.02	11.02	11.02 inches to cm
0	шкаф грант	шкаф грант	шкаф грант
1	В29	d29	d29 diode
0	дре	дре	дре паркер
2	еп 01	tg 01	tg 01
0	Отзывы	отзывы	отзывы о фильме т 34
2	шк-5	ir-5	ir-5 processing time
1	альбана	альбано	альбано и рамина
0	диван крон	диван крон	диван крон отзывы
0	К	к	к чаадаеву
1	лос анжелес	лос анджелес	лос анджелес время
1	диван аккордеон двухспальный	диван аккордеон двуспальный	диван аккордеон двуспальный
2	еу-01	te-01	te-01 hot fire
0	ЕвроТахта	евротахта	евротахта шаговый механизм
0	как узнать о заказе	как узнать о заказе	как узнать о заказе в розетке
