distance	query	complete_suggestion	full_complete
0	ДВУХЯРУСНАЯ КРОВАТЬ	двухярусная кровать	двухярусная кровать икея
0	баритон	баритон	баритон это
0	тумбы для кухни	тумбы для кухни	тумбы для кухни купить
0	Комод челси	комод челси	комод челси
0	Кровать полуторку	кровать полуторку	кровать полуторку
0	Стол визажиста	стол визажиста	стол визажиста нижний новгород
0	стол письменный двухтумбовый	стол письменный двухтумбовый	стол письменный двухтумбовый купить
0	ника	ника	ника спринг
0	гостиная флора марта 11	гостиная флора марта 11	гостиная флора марта 11
0	шкаф-витрина	шкаф-витрина	шкаф-витрина для посуды
1	Шкаф платьяной	шкаф платяной	шкаф платяной купить
0	кровать с матрасом	кровать с матрасом	кровать с матрасом нижний новгород
1	гостиная берта-1	гостиная берта-1	гостиная берта 1
0	Кухня 2400	кухня 2400	кухня 2400 на 1500
0	дубаи	дубаи	дубаи погода
0	Еврокнижка	еврокнижка	еврокнижка диван
0	паола	паола	паола рейна
0	элемент 2	элемент 2	элемент 2 периода 6 группы
0	Стенка марта 11	стенка марта 11	стенка марта 11 цена
0	Чердак	чердак	чердак души
0	туалетные столик	туалетные столик	туалетные столик
1	Комод Соломея	комод саломея	комод саломея
1	км 04	км 04	км-04 - компрессометр
0	Марта 15	марта 15	марта 15 стенка
0	стеллаж 5	стеллаж 5	стеллаж 5 полок
0	Кровать Габриэлла	кровать габриэлла	кровать габриэлла люкс плюс
0	tv-2a	tv-2a	tv-2a/u tube tester
0	СТ-4	ст-4	ст-4 анализ
0	шкаф с зеркалом	шкаф с зеркалом	шкаф с зеркалом в ванную
0	Ящик на стену	ящик на стену	ящик на стену купить
0	Спальный гарнитур Бася	спальный гарнитур бася	спальный гарнитур бася сборка
0	кровать двойная	кровать двойная	кровать двойная выдвижная
0	315Н	315н	315н приказ
1	Соло-5	соло-5	соло 5 стенка
0	Детская Сказка ЛДСП	детская сказка лдсп	детская сказка лдсп
0	Шкаф кухонный	шкаф кухонный	шкаф кухонный икеа
0	Этажерка для обуви	этажерка для обуви	этажерка для обуви своими руками
0	Тина	тина	тина кароль
0	вешалка машенька	вешалка машенька	вешалка машенька
0	Диван Сиена-М	диван сиена-м	диван сиена-м
0	Диван олимп	диван олимп	диван олимп угловой
0	шкаф лофт	шкаф лофт	шкаф лофт купить
0	Трехдверные шкафы	трехдверные шкафы	трехдверные шкафы купе
0	глория	глория	глория джинс
0	Подвесное кресло	подвесное кресло	подвесное кресло купить
0	кресло нота	кресло нота	кресло нота самба
0	Диван кушетка	диван кушетка	диван кушетка фото
0	Распродажа	распродажа	распродажа пуховиков в ганзе
0	гармония	гармония	гармония бор
0	ДЛЯ ПЕЛЕНАНИЯ	для пеленания	для пеленания доска
0	Квадро	квадро	квадро пицца
0	мебель для ваной комнаты	мебель для ваной комнаты	мебель для ваной комнаты
1	Комод светдана	комод светлана	комод светлана
0	Кухонные столы	кухонные столы	кухонные столы и стулья нижний новгород
0	стеллаж навесной	стеллаж навесной	стеллаж навесной икеа
0	Лавка	лавка	лавка чудес
0	Карло	карло	карло пазолини
0	Стеллаж Челси	стеллаж челси	стеллаж челси
0	Складные табуретки	складные табуретки	складные табуретки на кухню
0	шкаф париж	шкаф париж	шкаф париж диприз
0	владимира	владимира	владимира мономаха
0	прихожая	прихожая	прихожая икеа
0	сакура 1	сакура 1	сакура 1 5 кг роллов
0	кухонный диван этюд облегченный вариант	кухонный диван этюд облегченный вариант	кухонный диван этюд облегченный вариант
0	спальня	спальня	спальня фото
0	Кресла геймерские	кресла геймерские	кресла геймерские
1	ШК-11	шк-11	шк 11
0	сицилия	сицилия	сицилия карта
0	шкаф бассо	шкаф бассо	шкаф бассо
0	Угловая	угловая	угловая скорость
0	диван не разборный	диван не разборный	диван не разборный
0	угловой шкаф палермо	угловой шкаф палермо	угловой шкаф палермо
0	Венера	венера	венера планета
1	костер-7	костер-7	костер 7
1	олим	олимп	олимп трейд
0	флок	флок	флок ткань
0	Стул для кухни	стул для кухни	стул для кухни купить
0	мона н	мона н	мона**н актер
0	орхидея	орхидея	орхидея как ухаживать
0	стенка соло	стенка соло	стенка соло 10
0	стол	стол	стол трансформер
0	Стулья барные	стулья барные	стулья барные купить
0	Гостиная либерти	гостиная либерти	гостиная либерти
0	СТОЛ ОБЕДЕННЫЙ	стол обеденный	стол обеденный икеа
0	тони	тони	тони раут
0	Rival	rival	rival 100
0	тумба мокко	тумба мокко	тумба мокко
0	Кухня по элементам	кухня по элементам	кухня по элементам купить
0	лего	лего	лего дупло
0	Подставка	подставка	подставка для ноутбука
0	октавиан	октавиан	октавиан август
1	торевая	ториевая	ториевая батарея
0	скамья угловая со спальным местом	скамья угловая со спальным местом	скамья угловая со спальным местом «домино»
0	стол журнальный	стол журнальный	стол журнальный раскладной
0	Кухня 1800	кухня 1800	кухня 1800 см
0	умка	умка	умка магазин
0	детская кровать дельфин	детская кровать дельфин	детская кровать дельфин сборка
0	Шкаф трехстворчатый фиеста	шкаф трехстворчатый фиеста	шкаф трехстворчатый фиеста
1	Обовница	обувница	икеа обувница
0	в-21	в-21	в-21 raider
0	Стулья недорого	стулья недорого	стулья недорого спб
0	дуб санремо	дуб санремо	дуб санремо белый
0	Диван с ортопедическим матрасом	диван с ортопедическим матрасом	диван с ортопедическим матрасом купить
0	маленькие кухни	маленькие кухни	маленькие кухни с барной стойкой
0	кресло лофт	кресло лофт	кресло лофт
0	венеция кровать	венеция кровать	венеция кровать ами мебель
0	шкаф купе в прихожую	шкаф купе в прихожую	шкаф купе в прихожую фото
1	шк-20	шк-20	шк 20
0	Асмана Дзержинск Мебель	асмана дзержинск мебель	асмана (дзержинск мебель)
0	Бася	бася	бася космаль
1	стенка евро-мини	стенка евро-мини	стенка евро мини
0	Кресла самба	кресла самба	кресла самба
1	тахта малютка 0,7	тахта малютка 0,7	тахта малютка 0 7
0	Глазов	глазов	глазов мебель
0	комод премьер 2	комод премьер 2	комод премьер 2
0	легенда 14	легенда 14	легенда 14 кровать
0	гладильная доска	гладильная доска	гладильная доска нижний новгород
0	латекс	латекс	латекс это
0	полка угловая	полка угловая	полка угловая в ванную
2	самовыв	самовывоз	что такое самовывоз
0	спальня палермо	спальня палермо	спальня палермо интердизайн
0	диван клайд	диван клайд	диван клайд
0	сакура62	сакура62	сакура 62.рф
0	кухня татьяна 1.6	кухня татьяна 1.6	кухня татьяна 1.6
0	Пенал София	пенал софия	пенал софия прекрасная
0	журнальный	журнальный	журнальный столик
0	барселона	барселона	барселона леванте
0	кухня массив люкс	кухня массив люкс	кухня массив люкс боровичи
0	шкаф мона	шкаф мона	шкаф мона лиза
0	Кровать машинка	кровать машинка	кровать машинка нижний новгород
0	Диван лодочка	диван лодочка	диван лодочка спб
0	стол журнальный сж-4	стол журнальный сж-4	стол журнальный сж-4
0	шкаф многоцелевой	шкаф многоцелевой	шкаф многоцелевой
0	рио-2	рио-2	рио-2 реле
0	диван вега44	диван вега44	диван вега 44
0	тахта люкс	тахта люкс	тахта люкс классика
0	угловые стеллажи	угловые стеллажи	угловые стеллажи в гостиную
0	Тумба для обуви	тумба для обуви	тумба для обуви икеа
0	подростковый диван-кровать	подростковый диван-кровать	подростковый диван-кровать купить
0	Антресоль венге	антресоль венге	антресоль венге
0	стол подвесной	стол подвесной	стол подвесной к стене
0	юниор	юниор	юниор центр
0	мишель	мишель	мишель пфайффер
1	ШК-3	шк-3	шк 3
0	скамья дерево	скамья дерево	скамья дерево
0	легенда 2	легенда 2	легенда 2 дота
0	прихожая п-1	прихожая п-1	прихожая п-1
0	Элегия стенка	элегия стенка	элегия стенка
0	круглый	круглый	круглый стол
0	сервант	сервант	сервант это
0	киота	киота	киота это
0	стол письменный сп-3	стол письменный сп-3	стол письменный сп-3 лик-5
0	тедди	тедди	тедди люпин
1	гостиная соло-8	гостиная соло-8	гостиная соло 8
0	Тумба виктория	тумба виктория	тумба виктория с умывальником
0	мелиса	мелиса	мелиса таро
0	шкаф с витриной угловой	шкаф с витриной угловой	шкаф с витриной угловой
0	Маэстро	маэстро	маэстро нижний новгород
1	Диван Вега-18	диван вега-18	диван вега 18 отзывы
1	Диван аккордион	диван аккордеон	диван аккордеон отзывы
0	Премьер 4	премьер 4	премьер 4 купить
0	атлант	атлант	атлант расправил плечи
1	Мягкие пуфики мешкм	мягкие пуфики мешки	мягкие пуфики мешки
0	кресло лион	кресло лион	кресло лион
0	тахта	тахта	тахта нижний новгород
0	гримерный столик	гримерный столик	гримерный столик купить
0	плинтус	плинтус	плинтус потолочный
0	лас вегас	лас вегас	лас вегас кафе
0	дельфин кровать	дельфин кровать	дельфин кровать детская
0	Кухня 3 метра	кухня 3 метра	кухня 3 метра угловая с холодильником
0	подставка для обуви	подставка для обуви	подставка для обуви икеа
0	кровать детская массив с ящиками	кровать детская массив с ящиками	кровать детская массив с ящиками выбеленная береза
0	софа диван	софа диван	софа диван купить
0	дуэт	дуэт	дуэт по праву
0	Челси	челси	челси арсенал
0	Обувница лофт	обувница лофт	обувница лофт
0	кровать трансформер	кровать трансформер	кровать трансформер детская
0	стол обеденный круглый	стол обеденный круглый	стол обеденный круглый раздвижной
0	бася 2	бася 2	бася 2
2	ШК-1	ir-1	ir-1 nist
1	прихожая виола-1	прихожая виола-1	прихожая виола 1
0	Спальня	спальня	спальня фото
0	Угловой диван аккордеон	угловой диван аккордеон	угловой диван аккордеон с ортопедическим матрасом спб
0	кухня мдф	кухня мдф	кухня мдф или лдсп
0	Шкаф ШК-8	шкаф шк-8	шкаф шк-8
0	Пуфик	пуфик	пуфик купить
0	диван Этюд облегченный	диван этюд облегченный	кухонный диван этюд облегченный
0	стул с5	стул с5	стул с5
0	холодильник	холодильник	холодильник атлант
0	створочный	створочный	створочный уплотнитель
0	селена	селена	селена гомес
0	Стенка Моника	стенка моника	стенка моника отзывы
0	Мебель	мебель	мебель плюс
1	Мийа-3	мийа-3	мийа 3
0	белая роза	белая роза	белая роза нижний новгород
0	кухня угловая	кухня угловая	кухня угловая фото
0	директор диван	директор диван	директор диван
2	слоник бимбо	слоник дамбо	слоник дамбо
0	Шкаф купе угловой	шкаф купе угловой	шкаф купе угловой своими руками
0	кухня виола	кухня виола	кухня виола оби отзывы
0	Антуан	антуан	антуан арно
0	Стол компьютерный Персей	стол компьютерный персей	стол компьютерный персей
0	eames	eames	eames стул
1	Рапунцел	рапунцель	рапунцель запутанная история
0	Соло 5	соло 5	соло 5 стенка
0	стеллаж с ящиками на колесах	стеллаж с ящиками на колесах	стеллаж с ящиками на колесах
0	оптима матрас	оптима матрас	оптима матрас емм
0	лозанна	лозанна	лозанна погода
0	шкаф-купе	шкаф-купе	шкаф-купе в прихожую
0	Угловые диваны для кухни	угловые диваны для кухни	угловые диваны для кухни спб
0	стол компьютерный ск-9	стол компьютерный ск-9	стол компьютерный ск-9 феникс
0	Угловой фиеста	угловой фиеста	шкаф угловой фиеста
0	уголок кухонный	уголок кухонный	уголок кухонный авито
0	Саванна	саванна	саванна кошка
0	клик-кляк	клик-кляк	клик-кляк диван
1	Стол-книжка Мечта	стол-книжка мечта	стол книжка мечта
0	вега 18	вега 18	вега 18 элегия
0	диван маэстро 2	диван маэстро 2	диван маэстро 2
0	СТОЛ КНИЖКА	стол книжка	стол книжка купить в нижнем новгороде
0	угловой диван олимп-1	угловой диван олимп-1	угловой диван олимп-1 отзывы
0	комод к-5	комод к-5	комод к-5 инструкция по сборке
0	Шкаф-купе белый Фортуна	шкаф-купе белый фортуна	шкаф-купе белый фортуна
0	Белая стенка	белая стенка	белая стенка в гостиную
0	Эдвард 5	эдвард 5	эдвард 5 стенка
2	ск-9	cr-9	cr-9 suppressor
1	новь-софа	новь-софа	новь софа
0	Выкатной диван Париж	выкатной диван париж	выкатной диван париж
0	кровать волжанка	кровать волжанка	кровать волжанка олмеко
0	Papasan	papasan	papasan chair
1	кровать 1,5	кровать 1,5	кровать 1 5 спальная
1	лик-5	лик-5	лик 5 баллов
0	бася 2.0	бася 2.0	шкаф купе бася 2.0
0	стол мельбурн	стол мельбурн	стол мельбурн трия
0	хранение игрушек	хранение игрушек	хранение игрушек икеа
0	аквастоп	аквастоп	аквастоп цена
0	гермес	гермес	гермес бог чего
0	кухня уют	кухня уют	кухня уют комфорт
0	Сигма	сигма	сигма нижний новгород
0	кресло к	кресло к	кресло к потолку
0	римские шторы	римские шторы	римские шторы на кухню
0	венге белфорт	венге белфорт	венге белфорт
0	Маленький диван	маленький диван	маленький диван на кухню
1	в-18	в-18	в 18 столетии при европейских
1	наматрасник поликотон	наматрасник поликоттон	наматрасник поликоттон
0	стол компьютерный молочный дуб	стол компьютерный молочный дуб	стол компьютерный молочный дуб
0	стенка марта 18	стенка марта 18	стенка марта 18 сборка
0	диван трансформер	диван трансформер	диван трансформер нижний новгород
0	массив кровать	массив кровать	массив кровать
0	вега 2	вега 2	вега 2 лодка
0	угловая кухня маленькая	угловая кухня маленькая	угловая кухня маленькая купить
1	шк-11	шк-11	шк 11
2	Детская кровать Дельфин МДФ 1,6 м	детская кровать дельфин мдф 1,6 м	детская кровать дельфин мдф 1 6м
0	Бескаркасный диван	бескаркасный диван	бескаркасный диван купить
1	Кроа	кроп	кроп топ
2	детская кровать дельфин-2 мдф 1,6 м	детская кровать дельфин-2 мдф 1,6 м	детская кровать дельфин-2 мдф 1 6м
0	Шкаф угловой	шкаф угловой	шкаф угловой икеа
0	Моника	моника	моника беллуччи
1	шк-8	шк-8	шк 8
0	Кордон	кордон	кордон это
0	вавилон58	вавилон58	вавилон58 кровать дельфин
1	Диван-кровать Лира 1400	диван-кровать лира 1400	диван кровать лира 1400
0	стол компьютерный металл	стол компьютерный металл	стол компьютерный металл
0	рио 2	рио 2	рио 2 этаж
0	БЕБИ	беби	беби бон
0	табурет эконом	табурет эконом	табурет эконом
1	сити-1	сити-1	сити 1
0	К-11	к-11	к-11 маршрут
0	стойка тв	стойка тв	стойка тв mart викинг
0	флора марта	флора марта	стенка флора марта 11
0	стулья компьютерные	стулья компьютерные	стулья компьютерные икеа
1	дельфин 1,4	дельфин 1,4	кровать дельфин 1 4
0	кровать тиволи	кровать тиволи	кровать тиволи отзывы
0	стенка лима	стенка лима	стенка лима сборка
0	кордон	кордон	кордон это
0	обеденная группа тип 4	обеденная группа тип 4	обеденная группа тип 4
0	полонез	полонез	полонез огинского слушать
0	мелисса	мелисса	мелисса бенойст
0	Пуфы и банкетки	пуфы и банкетки	пуфы и банкетки для прихожей
0	саломея	саломея	саломея виктюк
0	Кровать шкаф	кровать шкаф	кровать шкаф трансформер
0	наталина	наталина	наталина муа
0	Матрас Классик	матрас классик	матрас классик плюс
0	милан 2	милан 2	милан 2 диван
0	журнал	журнал	журнал максим
1	дешовый диван	дешевый диван	дешевый диван
0	Кровать Мелисса	кровать мелисса	кровать мелисса с ящиками
0	овальная	овальная	овальная форма лица
0	стенка марта-11	стенка марта-11	стенка марта-11 (флора)
0	стеклянные журнальные столики	стеклянные журнальные столики	стеклянные журнальные столики москва
0	флоренц	флоренц	флоренц прага
0	севилья	севилья	севилья город
0	форум	форум	форум винского
0	шкаф с антресолью	шкаф с антресолью	шкаф с антресолью в прихожую
0	набор	набор	набор инструментов
0	алабама комод	алабама комод	алабама комод 3s
0	Престиж	престиж	престиж это
0	лира трансформер	лира трансформер	лира трансформер отзывы
0	ронда стол	ронда стол	ронда стол макияжный
0	Софа детская	софа детская	софа детская купить
0	Каркас	каркас	каркас монолит
0	next	next	next официальный сайт
0	Фиеста	фиеста	фиеста саров
0	тв тумба	тв тумба	тв тумба лофт
0	дуб белфорт	дуб белфорт	дуб белфорт лдсп
0	фотопечатью	фотопечатью	торт с фотопечатью
0	ящик	ящик	ящик пандоры
0	Стол-книжка	стол-книжка	стол-книжка купить
1	лофт-3	лофт-3	лофт 3
0	встроенная кровать	встроенная кровать	встроенная кровать купить
0	Стол Рио	стол рио	стол рио много мебели
0	альянс 2	альянс 2	альянс 2 удар сверху
0	Полка навесная	полка навесная	полка навесная нижний новгород
0	мн 12	мн 12	маршал мн 12 отзывы
0	Прихожую	прихожую	прихожую купить
0	стол зеленый	стол зеленый	стол зеленый
0	Шкаф вега	шкаф вега	шкаф вега ш-01
0	туалетный столик с банкеткой	туалетный столик с банкеткой	туалетный столик с банкеткой
0	орнелла	орнелла	орнелла мути
0	Книжный шкаф	книжный шкаф	книжный шкаф нижний новгород
0	макарена	макарена	макарена скачать
0	диваны для кухни	диваны для кухни	диваны для кухни фото
0	комод элана	комод элана	комод элана 1400
0	Строй	строй	строй нн
0	Кресла кровать	кресла кровать	кресла кровать икеа
0	эконом	эконом	эконом доставка
0	Прихожая дарина	прихожая дарина	прихожая дарина сборка
0	венге дуб сонома	венге дуб сонома	венге дуб сонома
2	tv-6	тв-6	тв-6 станок
0	бэмби	бэмби	бэмби 2
0	Панно с зеркалом	панно с зеркалом	панно с зеркалом
0	раскладной стол для шитья	раскладной стол для шитья	раскладной стол для шитья
0	кухня сиреневая	кухня сиреневая	кухня сиреневая с черным
0	диван фиджи	диван фиджи	диван фиджи отзывы
0	лдсп	лдсп	лдсп это
0	Шкаф 3	шкаф 3	шкаф 3 метра
1	Шкаф-Купе Ривьера	шкаф-купе ривьера	шкаф купе ривьера
0	дрима	дрима	дрима уокер
0	магна	магна	магна нижний новгород
0	диван визит	диван визит	диван визит 2
0	детская сказка	детская сказка	детская сказка читать
0	лофт стеллаж	лофт стеллаж	лофт стеллаж купить
0	Письменный стол олимп	письменный стол олимп	письменный стол олимп
0	Детская кровать Легенда	детская кровать легенда	детская кровать легенда 6
0	союз-мебель	союз-мебель	союз-мебель каталог
0	Кресло-кровать аккордеон Виктория	кресло-кровать аккордеон виктория	кресло-кровать аккордеон виктория
0	даллас	даллас	даллас лос анджелес прогноз
0	диско	диско	диско шар
0	пенал на кухню	пенал на кухню	пенал на кухню фото
0	Кухня белая	кухня белая	кухня белая с серым
0	виктория 2	виктория 2	виктория 2 читы
2	соломея кровать	саломея кровати	саломея кровати
0	складной	складной	складной нож
0	шторы	шторы	шторы икеа
0	Кухня татьяна	кухня татьяна	кухня татьяна 2
0	Раскладная кровать	раскладная кровать	раскладная кровать икеа
0	стеновые панели	стеновые панели	стеновые панели пвх
0	Шкаф в ванную	шкаф в ванную	шкаф в ванную икеа
1	угловой стелаж	угловой стеллаж	угловой стеллаж икеа
0	Пенал оскар	пенал оскар	пенал оскар
0	Стенка Макарена	стенка макарена	стенка макарена эко
0	ДИВАН БЕРГ	диван берг	диван берг много мебели
0	венге стенка	венге стенка	венге стенка
0	Венеция гостиная	венеция гостиная	венеция гостиная
0	Диван виктория	диван виктория	диван виктория угловой
0	ковры	ковры	ковры нижний новгород
0	КРОВАТЬ 1.8	кровать 1.8	кровать 1.8 на 2
0	прима м	прима м	прима м запорожье
1	двухъярусная кровать клик-клак	двухъярусная кровать клик-клак	двухъярусная кровать клик клак
0	мика	мика	мика морозов
0	Двухъярусная кровать	двухъярусная кровать	двухъярусная кровать икеа
0	пенал в ванну угловой	пенал в ванну угловой	пенал в ванну угловой
0	наматрасник аквастоп	наматрасник аквастоп	наматрасник аквастоп отзывы
0	стол компьютерный с надстройкой сп-3 пск-3 6 лик-5	стол компьютерный с надстройкой сп-3 пск-3 6 лик-5	стол компьютерный с надстройкой сп-3+пск-3/6 лик-5
0	стол сирень	стол сирень	рабочий стол сирень
0	стеллаж с7	стеллаж с7	стеллаж с7
0	Трехстворчатый шкаф	трехстворчатый шкаф	трехстворчатый шкаф купе
0	матрас стандарт	матрас стандарт	матрас стандарт отзывы
0	шкаф витрина	шкаф витрина	шкаф витрина икеа
2	Конфорд	комфорт	ооо комфорт
0	премьерА	премьера	премьера арзамас
0	стенка сакура	стенка сакура	стенка сакура фото
0	Стул элегия	стул элегия	стул элегия
0	Стол для ноутбука	стол для ноутбука	стол для ноутбука икеа
0	Комод турин	комод турин	комод турин сборка
0	шкаф в коридор	шкаф в коридор	шкаф в коридор икеа
0	стол светлана	стол светлана	паспортный стол светлана сочи
0	виктория 2-1	виктория 2-1	виктория 2-1
0	марас	марас	марас шакур
0	Матрас 160 80	матрас 160 80	матрас 160 80 екатеринбург
0	лестница	лестница	лестница пенроуза
0	белла	белла	белла торн
0	кровать детская в виде машинки	кровать детская в виде машинки	кровать детская в виде машинки
0	симпл кухня	симпл кухня	симпл кухня
0	Кухонный гарнитур	кухонный гарнитур	кухонный гарнитур дзержинск
0	шкаф белый	шкаф белый	шкаф белый икеа
0	Елисей	елисей	елисей имя
0	диван Виктория	диван виктория	диван виктория угловой
