distance	query	complete_suggestion	full_complete
1	coffetime	coffee time	coffee time syrup
2	виста-7	виста	виндовс 7 виста
1	двух ярусная кровать	двухъярусная кровать	двухъярусная кровать своими руками
2	моника-2	моника	моника мерфи правила 2
2	угловые в кухню	угловые кухни	угловые кухни в хрущевке
2	моника-2	моника	матрица 2 моника беллуччи
1	Комод 5.24	комод к 5.24	комод к 5.24
2	стол компьютерный №7	стол компьютерный	стол компьютерный костер 7
2	шкаф комбинированный дебют	шкаф комбинированный дебют-5	шкаф комбинированный дебют-5
1	ямайка 4	ямайка	ямайка птичка 4 буквы
2	тумба 2а	тумба	тумба tv-2а мк стиль
2	софия 1,6	софия 1	сериал софия 1 сезон 6 серия
1	стул с 2	стул 2	стул с-6
2	карло 12	карло	карло маркса 12
1	комод сраспашными дверками	комод с распашными дверцами	комод с распашными дверцами
1	набор диван два кресла	набор диван и два кресла	набор диван и два кресла
1	Кровать 200 200	кровать 200 х 200	кровать 200*220
1	coffetime	coffee time	coffee time band
2	диван ньюёрк	диван нью йорк	диван нью йорк
2	Матрас 800-2000	матрас 800 на 2000	матрас 800 на 2000
2	Ксенья 2	ксения	ксения собчак дом 2
0	Евро софа	еврософа	еврософа
2	софия 1,6	софия 1	софия 1 сезон 6 серия
1	мек-ко	мек и ко	мек и ко
2	Стол компьютерный с надстройкой №5	стол компьютерный с надстройкой	стол компьютерный с надстройкой сп-3+пск-3/6 лик-5
2	стенка соло-10а	стенка соло 10	стенка соло 10 отзывы
2	мш-02	мш-2-02	мш-2-02
0	Евро софа	еврософа	еврософа как раскладывается
1	матрас с детский	матрас детский	матрас детский с кокосовой стружкой
2	диван-кровать №2	диван-кровать	диван-кровать 2-х ярусная
0	Шкаф икровать	шкаф и кровать	шкаф и кровать в детскую
1	прихожая престиж 5	прихожая престиж 1 5	прихожая престиж 1 5
1	матрас классик э	матрас классик	матрас классик симпл э
1	Два кресла журнальный столик	два кресла и журнальный столик	два кресла и журнальный столик
2	виста-7	виста	скачать виндовс 7 виста
2	Обеденная группа №2	обеденная группа	обеденная группа тип 2
2	стол компьютерный с надстройкой сп-3 пск-3 6 лик	стол компьютерный с надстройкой сп-3 пск-3 6 лик-5	стол компьютерный с надстройкой сп-3+пск-3/6 лик-5
1	матрас с детский	матрас детский	матрас детский с кокосовым наполнителем
1	комод 5.24	комод к 5.24	комод к 5.24
0	евро софа	еврософа	еврософа
0	еврокровать	евро кровать	евро кровать размер
1	Вега-10	вега 10	вега 10
2	обеденная группа №1	обеденная группа	обеденная группа ог-1 сборка
1	стол компьютерный 7	стол компьютерный	стол компьютерный костер 7
2	СН 57	сн 8-57	сн 8-57
2	онега шк	онега	онега школа 1
1	Евро-софа	еврософа	еврософа
1	ямайка 4	ямайка	ямайка на мамайке 4
2	Стол компьютерный №5	стол компьютерный	стол компьютерный комфорт 5
0	минидиван	мини диван	мини диван раскладной
1	комод сраспашными дверками	комод с распашными дверцами	купить комод с распашными дверцами
0	Шкаф икровать	шкаф и кровать	шкаф и кровать вместе
1	двух ярусная кровать	двухъярусная кровать	двухъярусная кровать с диваном
0	минидиван	мини диван	мини диван на кухню
1	Комод км-	комод км-2	комод км-2
2	Оскар-7А Модена	оскар 7 модена	оскар 7 модена
2	Стол журнальный №6	стол журнальный	стол журнальный консул 6
2	Стол журнальный №6	стол журнальный	стол журнальный маджеста 6
1	Кровать 200 200	кровать 200 х 200	кровать 200 х 200
1	вега 10	вега 10у	вега 10у 120с
1	матрас с детский	матрас детский	матрас детский с кокосовой стружкой цена
2	стеллаж с5	стеллаж с5-8	стеллаж с5-8
1	вега-10	вега 10	вега 10
0	Шкаф икровать	шкаф и кровать	шкаф и кровать
2	кровать 1800*2000	кровать 1800 на 2000	кровать 1800 на 2000
1	Евро-софа	евро софа	евро софа как раскладывается
1	стол письменный м	стол письменный	стол письменный м-кс 1
2	моника-2	моника	моника той 2 сезон
2	Кресло Анна	кресло анна-1	кресло анна-1
1	стул с 2	стул 2	стул 2 месячного ребенка на гв
0	еврокровать	евро кровать	евро кровать фото
0	витрина 4	витрина 4	церковная витрина 4 буквы
2	Тумба п 5	тумба	тумба 800 мд п-5
1	витрина 4	витрина	витрина 4-х дверная
2	стол журнальный маджеста	стол журнальный маджеста-8	стол журнальный маджеста-8
2	Набор мебели Браво	набор мебели браво-1	набор мебели браво-1
1	Шкаф 3-створчатый Фиеста	шкаф 3-х створчатый фиеста	шкаф 3-х створчатый фиеста
1	стол журнальный 3d	стол журнальный с 3d	стол журнальный с 3d эффектом
2	Стол компьютерный №7	стол компьютерный	стол компьютерный костер 7
1	диван нюйорк	диван нью йорк	диван нью йорк
2	диван-кровать №2	диван кровать 2	диван кровать 2 местный
1	Детская кровать дельфин 2м	детская кровать дельфин 2	детская кровать дельфин 2
0	евро софа	еврософа	еврософа как раскладывается
2	стул с-2	стул 2	стул 2 месячного ребенка на гв
0	стол журнальный маджеста	стол журнальный маджеста	стол журнальный маджеста
0	минидиван	мини диван	купить мини диван
2	Кресло анна	кресло анна-1	кресло анна-1
2	сн 64	сн 64-1	сн 64-1
2	Туалетный столик №2 Трельяж	туалетный столик трельяж	туалетный столик трельяж мд no 2 цвет венге/дуб
1	Детская кровать дельфин 2м	детская кровать дельфин 2	детская кровать дельфин 2 отзывы
2	СН 57	сн 7-57	сн 7-57
2	стол обеденный 10	стол обеденный	стол обеденный орфей 10
2	пенал ск	пенал ск-9	пенал ск-9
1	0шкаф купе элегия	шкаф купе элегия	шкаф купе элегия
0	стеллаж с5	стеллаж с5	стеллаж с5
2	Диван новь	диван новь-1	диван новь-1
1	Комод км-	комод км	комод км 554
2	Прованс ТД	прованс	тд прованс липецк
1	у цезарь	цезарь	цезарь у актер китай
1	Комод км-	комод км-1	комод км-1
0	Диван новь	диван новь	диван новь
2	стол обеденный 10	стол обеденный на 10	стол обеденный на 10 персон
1	стол письменный м	стол письменный 1 м	стол письменный 1 м
2	стенка соло-10а	стенка соло 10	стенка соло 10
2	стол журнальный №6	стол журнальный	стол журнальный маджеста 6
2	стул с-2	стул 2	стул 2 месячного ребенка
1	Шкаф комбинированный Кармен-7Н	шкаф комбинированный кармен-7	шкаф комбинированный кармен-7
2	бали-3	бали	nostos aparts 3+* бали
1	coffetime	coffee time	coffee time алматы
0	Кресло анна	кресло анна	кресло анна
1	стул с 2	стул 2	стул 2 раза в день
2	стенка со вставками кожи	стенка со вставками из кожи	стенка со вставками из кожи
0	Кресло Анна	кресло анна	кресло анна
2	Вега-10	вега 10у	вега 10у 120с
2	оскар-7а модена	оскар 7 модена	оскар 7 модена
2	стол журнальный №6	стол журнальный	стол журнальный консул 6
1	стул с 6	стул с	стул с подлокотниками 6 букв
2	обеденная группа №1	обеденная группа	обеденная группа тип 1
2	бали-3	бали	бали гузариш кластери 3
1	Детская кровать дельфин 2м	детская кровать дельфин 2	детская кровать дельфин 2 сборка
2	стул с-2	стул 2	стул 2 раза в день
2	кухонный уголок этюд 2	кухонный уголок этюд 2-1	кухонный уголок этюд 2-1
0	вега 10	вега 10	вега 10 лет
1	стул с 6	стул 6	стул 6 месячного ребенка
1	стул с 2	стул 2	стул 2 месячного ребенка
1	стенка соло-10а	стенка соло 10а	стенка соло 10а
2	угловые в кухню	угловые кухни	угловые кухни в хрущевке с холодильником
2	виста-7	виста	виста или 7
2	вега-10	вега 10у	вега 10у 120с
