distance	query	complete_suggestion	full_complete
2	виста-7	виста	виндовс 7 виста
1	визит 25	візит 25	візит 25 грудня
0	вега 10	вега 10	вега 10 лет
2	виста-7	виста	скачать виндовс 7 виста
2	Оскар-7А Модена	оскар 7 модена	оскар 7 модена
2	виста-7	виста	виста или 7
1	вега-10	вега 10	вега 10
2	вега-10	вега 10у	вега 10у 120с
2	бали-3	бали	бали гузариш кластери 3
1	0шкаф купе элегия	шкаф купе элегия	шкаф купе элегия
1	coffetime	coffee time	coffee time syrup
2	бали-3	бали	nostos aparts 3+* бали
1	coffetime	coffee time	coffee time band
1	витрина 4	витрина	витрина 4-х дверная
1	Вега-10	вега 10	вега 10
2	Вега-10	вега 10у	вега 10у 120с
1	вега 10	вега 10у	вега 10у 120с
2	2 метровый стол	2-х метровый стол	2-х метровый стол
0	витрина 4	витрина 4	церковная витрина 4 буквы
1	coffetime	coffee time	coffee time алматы
0	евро софа	еврософа	еврософа как раскладывается
1	Евро-софа	евро софа	евро софа как раскладывается
1	двух ярусная кровать	двухъярусная кровать	двухъярусная кровать с диваном
0	еврокровать	евро кровать	евро кровать размер
1	Евро-софа	еврософа	еврософа
1	Два кресла журнальный столик	два кресла и журнальный столик	два кресла и журнальный столик
1	Детская кровать дельфин 2м	детская кровать дельфин 2	детская кровать дельфин 2
0	еврокровать	евро кровать	евро кровать фото
1	Диван ра	диван 2 ра	диван 2 ра ръка
0	Евро софа	еврософа	еврософа как раскладывается
1	Детская кровать дельфин 2м	детская кровать дельфин 2	детская кровать дельфин 2 отзывы
2	Диван новь	диван новь-1	диван новь-1
2	диван-кровать №2	диван кровать 2	диван кровать 2 местный
1	двух ярусная кровать	двухъярусная кровать	двухъярусная кровать своими руками
2	диван ньюёрк	диван нью йорк	диван нью йорк
2	диван-кровать №2	диван-кровать	диван-кровать 2-х ярусная
0	Диван новь	диван новь	диван новь
1	Детская кровать дельфин 2м	детская кровать дельфин 2	детская кровать дельфин 2 сборка
1	диван нюйорк	диван нью йорк	диван нью йорк
1	комод 5.24	комод к 5.24	комод к 5.24
2	карло 12	карло	карло маркса 12
1	Комод км-	комод км-2	комод км-2
2	Кресло Анна	кресло анна-1	кресло анна-1
1	Комод 5.24	комод к 5.24	комод к 5.24
2	кровать 1800*2000	кровать 1800 на 2000	кровать 1800 на 2000
1	Комод км-	комод км	комод км 554
0	Кресло Анна	кресло анна	кресло анна
