distance	query	complete_suggestion	full_complete
0	клещи обжимные для неполированный наконечников 0 1-2 5мм² with арт 0714 107	клещи обжимные для неполированный наконечников 0 1-2 5мм² with арт 0714 107	клещи обжимные для неполированный наконечников 0 1-2 5мм² with арт 0714 107 100
0	скрепер	скрепер	скрепер для снега
0	ящики	ящики	ящики для хранения
0	ковролин	ковролин	ковролин купить
0	сетевой шнур	сетевой шнур	сетевой шнур с диммером
0	прихожая	прихожая	прихожая икеа
0	баня	баня	баня бочка
1	пенополистерол	пенополистирол	пенополистирол цена
0	цветное освещение	цветное освещение	цветное освещение купить
0	полка для ванной	полка для ванной	полка для ванной икеа
0	подложка	подложка	подложка под ламинат
0	клеммник	клеммник	клеммник wago
0	баллон	баллон	баллон со сжатым воздухом
0	туалетный держатель	туалетный держатель	туалетный держатель бумаги
0	распределительные пластины для теплого пола	распределительные пластины для теплого пола	распределительные пластины для теплого пола
0	портьерная ткань	портьерная ткань	портьерная ткань купить
0	дверь	дверь	дверь гармошка
0	диск алмазный	диск алмазный	диск алмазный по бетону
0	душевая лейка	душевая лейка	душевая лейка купить
0	кухонный гарнитур	кухонный гарнитур	кухонный гарнитур своими руками
0	гипсокартон	гипсокартон	гипсокартон цени
0	шпаклевка	шпаклевка	шпаклевка стен
0	тумба подвесная ванная	тумба подвесная ванная	тумба подвесная ванная
0	обои	обои	обои на рабочий стол
0	шланг на душ	шланг на душ	шланг на душ цена
1	купить тример электрический	купить триммер электрический	купить триммер электрический в спб
0	радиатор биметалл	радиатор биметалл	радиатор биметалл 10 секций цена
0	стеновая панель	стеновая панель	стеновая панель мдф
0	вытяжка	вытяжка	вытяжка купить
0	нержавейка	нержавейка	нержавейка лист
0	душевая ширма	душевая ширма	душевая ширма леруа
0	торонто 75	торонто 75	торонто 75
0	головка e8	головка e8	головка e8
0	пена монтажная	пена монтажная	пена монтажная купить
0	luxray	luxray	luxray moveset
0	механизм для раздвижной двери	механизм для раздвижной двери	механизм для раздвижной двери пенал eclisse
0	шканты	шканты	шканты купить
1	линолиум	линолеум	линолеум цена
0	сетка заборная	сетка заборная	сетка заборная пластиковая
0	ванная	ванная	ванная комната
0	болт м8	болт м8	болт м8 размеры
0	сверло ступенчатое	сверло ступенчатое	сверло ступенчатое по металлу
0	кабель	кабель	кабель hdmi
0	шифер плоский	шифер плоский	шифер плоский цена
0	уголок крепежный 50х50	уголок крепежный 50х50	уголок крепежный 50х50
0	бак мусорный	бак мусорный	бак мусорный купить
0	equation	equation	equation перевод
0	болт	болт	болт ру
0	лампа люминесцентная	лампа люминесцентная	лампа люминесцентная 36 вт
0	кирпич	кирпич	кирпич размеры
0	очки закрытые	очки закрытые	очки закрытые по бокам
0	угловая	угловая	угловая скорость
0	уголок стальной	уголок стальной	уголок стальной размеры
0	рольшторы	рольшторы	рольшторы купить
0	хомут	хомут	хомут для труб
0	профиль	профиль	профиль дорс
0	светильник потолочный	светильник потолочный	светильник потолочный с датчиком движения
0	аккорд 9010	аккорд 9010	аккорд 9010
0	обои вино	обои вино	обои вино на айфон
0	гофра для унитаза	гофра для унитаза	гофра для унитаза цена
0	подъёмник для гипсокартона	подъёмник для гипсокартона	подъёмник для гипсокартона цена
0	капуста	капуста	капуста по корейски
0	экструдированный пенополистирол	экструдированный пенополистирол	экструдированный пенополистирол цена
0	готовые тюли	готовые тюли	готовые тюли на кухню
0	пробка	пробка	пробка харьков
0	гофра	гофра	гофра глушителя
0	alpha	alpha	alpha industries
0	диск по дереву	диск по дереву	диск по дереву на болгарку
