distance	query	complete_suggestion	full_complete
0	Бали	бали	бали на карте мира
0	кухня по элементам	кухня по элементам	кухня по элементам купить в интернет магазине
0	стол палермо	стол палермо	стол палермо белый
1	диван с деревяной спинкой	диван с деревянной спинкой	диван с деревянной спинкой и подлокотниками
0	Мини стенка юджи	мини стенка юджи	мини стенка юджи сборка видео
0	набор мягкой мебели	набор мягкой мебели	набор мягкой мебели диван и кресла для гостиной
0	журнальный столик с пуфами	журнальный столик с пуфами	журнальный столик с пуфами внутри
0	Панель большой вешалки  Виктория	панель большой вешалки виктория	панель большой вешалки виктория
0	ребекка	ребекка	ребекка фергюсон
0	угловая стенка	угловая стенка	угловая стенка в гостиную
1	Жасимн	жасмин	жасмин песни
0	фиеста-4	фиеста-4	фиеста-4 тумба для обуви
0	книжный	книжный	книжный лабиринт
0	диван кровать софия	диван кровать софия	диван кровать софия 140
0	компьютерный стол грета-4	компьютерный стол грета-4	компьютерный стол грета-4 купить
0	Кровати с матрацем	кровати с матрацем	кровати с матрацем недорого
0	кровать	кровать	кровать трансформер
0	Бонус	бонус	бонус сериал
0	диван-кровать ручеек	диван-кровать ручеек	диван-кровать ручеек клик-клак
0	кухня престиж	кухня престиж	кухня престиж боровичи
0	маэстро	маэстро	маэстро канал видео танцы и песни
1	морячек	морячок	морячок папай
0	раскладной стол для шитья	раскладной стол для шитья	раскладной стол для шитья своими руками
0	Кровать с мягкой спинкой	кровать с мягкой спинкой	кровать с мягкой спинкой купить
0	матрас optima mix  независимые пружины	матрас optima mix независимые пружины	матрас optima mix независимые пружины с кокосом отзывы
0	сборка кухни	сборка кухни	сборка кухни цена за работу
0	Стул для кухни	стул для кухни	стул для кухни мягкий со спинкой
1	шкаф-купе фортуна  вавилон	шкаф купе фортуна вавилон	шкаф купе фортуна вавилон 58
1	диааны	диваны	диваны аскона
0	стенка дуб сонома	стенка дуб сонома	стенка дуб сонома белый глянец
1	дельфин 1,8	дельфин 1.8	дельфин 1.8 м схема сборки
0	лаванда 1	лаванда 1	лаванда 1 олмеко
0	спальня бася	спальня бася	спальня бася купить в москве недорого
0	Трия тумба	трия тумба	трия тумба под тв
0	обувница маленькая	обувница маленькая	обувница маленькая узкая
0	пеленальный стол	пеленальный стол	пеленальный стол медицинский
0	со-01	со-01	стол книжка со-01
0	Стол прямая нога	стол прямая нога	стол прямая нога раскладной купить
0	кордон	кордон	кордон следователя савельева сериал
1	Стл журнальный со стеклом	стол журнальный со стеклом	стол журнальный со стеклом лофт
0	шкаф ясень	шкаф ясень	шкаф ясень шимо светлый
0	пн-2	пн-2	пн-2 250а
0	фаворит	фаворит	фаворит моторс
0	гостиная либерти	гостиная либерти	гостиная либерти арредо классик
0	лик-5	лик-5	лик-5 стол компьютерный сп-3
0	угловая секция	угловая секция	угловая секция шкафа
0	полка угловая	полка угловая	полка угловая настенная деревянная
1	Коесла	кресла	кресла икеа
0	угловой диван для кухни	угловой диван для кухни	угловой диван для кухни со спальным местом
0	комод км-01	комод км-01	комод км-01 лдсп вв
0	дуб молочный	дуб молочный	дуб молочный цвет мебели фото
0	барный	барный	барный стул
0	Кровать ронда	кровать ронда	кровать ронда кр-160
0	Кровать с подъемным механизмом	кровать с подъемным механизмом	кровать с подъемным механизмом 160х200
0	Ск-3	ск-3	ск-3 строительная компания
0	оскар стенка	оскар стенка	оскар стенка для гостиной
0	стол мона	стол мона	стол мона лиза
0	костер-8	костер-8	костер-8 олмеко
0	КМ 1	км 1	км 1 автобус
0	Кухня 2300	кухня 2300	кухня 2300 на 1600 угловая
0	Стол со стеклом	стол со стеклом	стол со стеклом ажурный овальный
0	кровать дуэт	кровать дуэт	кровать дуэт 2 выдвижная боровичи
0	Стол письменный МД1.05	стол письменный мд1.05	стол письменный мд1.05 сборка
0	шкаф купе	шкаф купе	шкаф купе в прихожую
0	колонка	колонка	колонка jbl
0	Ручеек-1	ручеек-1	ручеек-1 отзывы
0	комплект скб	комплект скб	комплект скб элегия
0	белый глянец	белый глянец	белый глянец мдф
0	стол	стол	стол компьютерный
0	софия 3	софия 3	софия 3 серия
0	Стол HV COCO	стол hv coco	обеденный стол hv coco
0	Набор для гостиной  Марта	набор для гостиной марта	набор для гостиной марта
0	столы на ножках	столы на ножках	столы на ножках для офиса
0	Панель большой вешалки Мягкая  Виктория	панель большой вешалки мягкая виктория	панель большой вешалки мягкая виктория
0	Кресло-качалка	кресло-качалка	кресло-качалка купить в москве
0	полка бонус	полка бонус	полка бонус цвет яблоня москва
1	альянс -1	альянс 1	альянс 1 химера
0	табурет прямая нога	табурет прямая нога	табурет прямая нога боровичи
0	горизонт	горизонт	горизонт коломна
0	Диван  прямой	диван прямой	диван прямой еврокнижка
0	чехлы на стулья	чехлы на стулья	чехлы на стулья со спинкой
0	стол приставной	стол приставной	стол приставной офисный
0	МД 2.03	мд 2.03	шкаф для книг мд 2.03
0	Выкатной диван Париж	выкатной диван париж	выкатной диван париж отзывы
0	угловой диван олимп	угловой диван олимп	угловой диван олимп 1
0	фотопечатью	фотопечатью	кухонный фартук из мдф с фотопечатью каталог цены
0	Шкаф виктория	шкаф виктория	шкаф виктория 2-х дверный
0	Диваны	диваны	диваны моон официальный сайт
0	модульная мебель гостиная	модульная мебель гостиная	модульная мебель гостиная фото
0	амиго	амиго	амиго турс
0	опыт	опыт	опыт юнга
0	стенка диско	стенка диско	стенка диско bms
0	ШКАФ КУПЕ ЭЛЕГИЯ	шкаф купе элегия	шкаф купе элегия 2
0	ДЕБЮТ	дебют	дебют мебель официальный сайт
0	ДИВАН ФОРТУНА	диван фортуна	диван фортуна амстердам
0	стол-книжка с ящиками	стол-книжка с ящиками	стол-книжка с ящиками и полками на колесиках
0	стол письменный сп-3	стол письменный сп-3	стол письменный сп-3 лик-5
0	кухня  виола нео	кухня виола нео	кухня виола нео тигра узкая 2400 мм
0	тахта люкс 1600	тахта люкс 1600	тахта люкс 1600 sl
0	шкаф 20.02 соло	шкаф 20.02 соло	шкаф 20.02 соло боровичи
0	Стенка Флокс 1	стенка флокс 1	стенка флокс 1 схема
0	кухня кофе	кухня кофе	кухня кофе с молоком дизайн фото
0	стол макияжный светлана	стол макияжный светлана	стол макияжный светлана с банкеткой
0	шкаф кровать трансформер	шкаф кровать трансформер	шкаф кровать трансформер своими руками чертежи и схемы сборки
0	белый комод	белый комод	белый комод икеа
0	Детская кровать  Легенда	детская кровать легенда	детская кровать легенда 26.1 белая
0	комод к-5	комод к-5	комод к-5 инструкция по сборке
0	конус	конус	конус магазин канцтоваров
0	Диван новь	диван новь	диван новь софа
0	оптима	оптима	оптима сервис
