distance	query	complete_suggestion	full_complete
0	Тележка	тележка	тележка для перевозки грузов двухколесная
0	Г	г	г москва костомаровский пер д.3 стр.4
0	обедестол склнная группа тип	обедестол склнная группа тип	обедестол склнная группа тип топ
0	Гостинные	гостинные	гостинные стенки
0	Кухня грация	кухня грация	кухня грация фото
0	Раскладные кровати	раскладные кровати	раскладные кровати трансформеры
0	каркасный механизм	каркасный механизм	как заменить каркасный механизм в бочке
0	муза	муза	муза крепкогорская
0	промо код	промо код	промо код папа джонс
0	Кресло College	кресло college	кресло college h-935l-2
0	самовывоз	самовывоз	самовывоз кц буденовский павильон з-16
0	СН	сн	сн 2.2.4\/2.1.8.562-96
1	Брюсель	брюссель	брюссель москва
0	2.2	2.2	2.2 0.2
0	Перегородки для зонирования	перегородки для зонирования	перегородки для зонирования пространства в комнате
0	маями	маями	маями на карте
0	3.01	3.01	3.01 $
0	10.04	10.04	ubuntu 10.04
0	лавка	лавка	лавка чудес фильм 2007
1	Столик сервировачный	столик сервировочный	столик сервировочный на колесиках купить
0	Кровать 2спальная акция	кровать 2спальная акция	кровать 2 спальная акция
0	Пижма	пижма	пижма полезные свойства и противопоказания
1	фиета	фета	фета сыр
0	М	м	м видео
1	Шкф	шкаф	шкаф за унитазом
0	раскладушку	раскладушку	раскладушку купить в москве
0	Раздвижные кровати	раздвижные кровати	раздвижные кровати для детей
0	Диван филателия	диван филателия	диван филателия купить по акции
0	зонт	зонт	зонт онлайн
2	Кресло-качалка К	кресло-качалку к	как собрать кресло качалку к 5\/1 инструкция
0	пилот	пилот	пилот авто
0	подъемная кровать	подъемная кровать	подъемная кровать с диваном
0	прихожая рапсодия	прихожая рапсодия	прихожая рапсодия 1.2
0	сюрприз	сюрприз	сюрприз бокс
0	Спортивный	спортивный	спортивный склад миртренажеров.рф доставка
0	Комод пластиковый	комод пластиковый	комод пластиковый с ящиками
0	амеле	амеле	амеле вотэ коко
0	белфаст	белфаст	белфаст бар
0	Кровать с бортиками и ящиками	кровать с бортиками и ящиками	кровать с бортиками и ящиками для хранения
0	далас	далас	далас старс
0	флоренц	флоренц	флоренц кентавр
0	10.01	10.01	10.01 счет бухгалтерского учета что относится
0	Зонирование	зонирование	зонирование комнаты на спальню и гостиную 20 кв.м реальные фото
0	5.13	5.13	5.13 сп 60.13330.2016
0	луф	луф	луф 4 деад 1
0	Стол пассаж	стол пассаж	стол пассаж 1600
0	жак	жак	жак фреско
2	сн98	cy98	mc lg cy98
0	диван Прогулка по Таллину	диван прогулка по таллину	диван прогулка по таллину андерсен официальный сайт
0	Комод энгри	комод энгри	комод энгри бердз
2	Кресла игравык	кресла игровые	кресла игровые компьютерные
0	2.19	2.19	2.19 шифровальные криптографические средства
0	диван дерби	диван дерби	диван дерби 3-х местный
0	британика	британика	британика мебель официальный сайт
0	ша	ша	ша злости
0	диван наоби	диван наоби	диван наоби симферополь
0	стол для макияжа	стол для макияжа	стол для макияжа с зеркалом и подсветкой
0	ВС-1200	вс-1200	вс-1200 верстак
0	Сафа	сафа	сафа якубов
2	СН 57	cy 57	cy 57
0	Гранд кволити	гранд кволити	гранд кволити мебель официальный сайт каталог цены
0	ковры паласы	ковры паласы	ковры паласы купить
0	Секретер	секретер	секретер с откидным столом купить в москве
0	7.17	7.17	7.17 коап рф уничтожение или повреждение чужого имущества
0	бескаркасные диваны	бескаркасные диваны	бескаркасные диваны трансформеры
0	кензо набор	кензо набор	кензо набор женский
0	Стелаж	стелаж	стелаж или стеллаж
0	поэнг	поэнг	поэнг икеа
0	марк 6	марк 6	марк 6 железный человек
0	2.02	2.02	2.02 $
0	Н97	н97	нокиа н97
0	шк-	шк	шк- 53
0	климат	климат	климат москвы
0	александр	александр	александр петров
2	Трилаж	тираж	тираж 1264 русского лото
0	прихожая натали	прихожая натали	прихожая натали 3
0	журнальный столик стеклянный	журнальный столик стеклянный	журнальный столик стеклянный купить
0	Розничные магазины	розничные магазины	розничные магазины косметики в москве
0	н54	н54	н54 автозапчасти
0	щенячий	щенячий	щенячий патруль
0	бэлла	бэлла	бэлла потемкина
0	диамонд	диамонд	диамонд рп
0	мале	мале	мале мальдивы
2	Леон лира	лион кира	лион кира найтли
0	людмила	людмила	людмила александровна путина
0	Кензо	кензо	кензо духи женские
0	маэс	маэс	маэс хьюз
0	набор мебели из ротанга	набор мебели из ротанга	набор мебели из ротанга распродажа
1	стол арлеан	стол орлеан	стол орлеан 1.7
0	sofia	sofia	sofia mythos aparthotel 3
0	Пенал в ванную	пенал в ванную	пенал в ванную комнату напольный
0	кам 01	кам 01	каркам кам 01
0	габриэлл	габриэлл	демиан габриэлл
0	кухонную горку для посуды	кухонную горку для посуды	кухонную горку для посуды в
0	как узнать о заказе	как узнать о заказе	как узнать о заказе на алиэкспресс
0	геридон	геридон	геридон это
0	7.22	7.22	7.22 коап рф
0	ротанга	ротанга	мебель из ротанга
0	н52	н52	н52 4 пресбиопия
0	фэнтэзи	фэнтэзи	фэнтэзи ворд
0	т-1	т-1	т-1 статистика
0	нира	нира	нира кот
0	Стеклянный	стеклянный	стеклянный замок
0	Байрон	байрон	байрон дэвид
0	полонез	полонез	полонез огинского
1	мебель из ротанда	мебель из ротанга	мебель из ротанга магазин спб
0	стенку пензенской фабрики	стенку пензенской фабрики	купить с минске стенку пензенской фабрики сценоми и пазмероми
0	Кухня по элементам раскомплектовка	кухня по элементам раскомплектовка	кухня по элементам раскомплектовка
0	стиральной	стиральной	стиральной машины
1	н53	y53	смартфон vivo y53
0	вешала	вешала	вешала напольные для одежды металлические для магазина
0	Напольные ширмы	напольные ширмы	напольные ширмы для детского сада
0	Стул-стремянка трансформер Eletta	стул-стремянка трансформер eletta	стул-стремянка трансформер eletta
0	офисные кресла	офисные кресла	офисные кресла купить в москве дешево
1	Броссель	дроссель	дроссель для люминесцентных ламп
0	06.40	06.40	06.40 secret bontempi casa
0	йога	йога	йога для начинающих
0	лодочка	лодочка	лодочка плыви
0	кент-1	кент-1	стенка кент-1 пенза
0	мега	мега	мега белая дача
0	Тоня	тоня	тоня против всех фильм 2017
0	зеркало с эффектом туннеля	зеркало с эффектом туннеля	зеркало с эффектом туннеля купить
0	венге лоредо	венге лоредо	тумба фиеста венге лоредо
0	МОЙ ЗАКАЗ	мой заказ	мой заказ каталог орифлейм 1 2019
0	недорогую стенку	недорогую стенку	недорогую стенку купить
0	Табуретка	табуретка	табуретка для ванной
1	Мдф дуб шамборо	мдф дуб шамбор	мдф дуб шамбор купить
0	написать отзыв	написать отзыв	написать отзыв о компании
0	бланко	бланко	бланко мойки официальный сайт
1	карло 12	карла 12	история карла 12 короля швеции
0	Н58	н58	н58 нож
0	троя	троя	троя фильм 2004
0	рио	рио	рио на дмитровке
0	9.07	9.07	9.07 знак зодиака
0	Диван Аполло 2-х местный	диван аполло 2-х местный	диван аполло 2-х местный д2 экокожа доларо
0	линда	линда	линда козловски
0	стеллаж красного цвета	стеллаж красного цвета	купить стеллаж красного цвета
1	пуэнг	поэнг	поэнг икеа
0	то3	то3	то3 123
0	юлия	юлия	юлия исмагилова
0	2.06	2.06	2.06 $
0	уау	уау	уау сделать
0	д1	д1	д1 жилой комплекс
0	нельсон	нельсон	нельсон ирина
0	disavi	disavi	disavi мебель официальный сайт пенза
0	инга	инга	инга оболдина
0	балтика	балтика	балтика кинотеатр
0	Столик туалетный Палермо 1000х750х445мм	столик туалетный палермо 1000х750х445мм	столик туалетный палермо 1000х750х445мм
0	дженни	дженни	дженни жак
0	Журнальный стол Mayer 3 Модель 342	журнальный стол mayer 3 модель 342	журнальный стол mayer 3 модель 342
0	отзыв	отзыв	отзыв ру
1	машенка	машонка	машонка у мужчины
0	Складные табуретки	складные табуретки	складные табуретки для кухни недорого
0	мдф	мдф	мдф это что за материал
0	Dt 445	dt 445	dt 445 стол обеденный
0	5.15	5.15	5.15 смартфон honor 9 64 гб серый
0	каспия	каспия	каспия что это
0	акции	акции	акции в пятерочке
0	атлан	атлан	атлан су
0	диван книжка вояж	диван книжка вояж	диван книжка вояж
0	вешалка костюмная	вешалка костюмная	вешалка костюмная напольная
0	Варда	варда	варда фока википедия
0	ман	ман	ман сити вулверхэмптон прогноз
1	Плэй	плей	плей маркет
0	Каролина	каролина	каролина в стране кошмаров смотреть в хорошем качестве hd 1080
0	диван прадо угловой	диван прадо угловой	диван прадо угловой фото
0	манхэттен	манхэттен	манхэттен фильм 1979
0	сиэтл	сиэтл	сиэтл вашингтон
0	стол подвесной	стол подвесной	стол подвесной складной на стену купить
0	пуф	пуф	пуф в прихожую
0	стол ученический	стол ученический	стол ученический регулируемый по высоте
0	Полермо	полермо	полермо конди
1	Оотан	ротан	ротан рыба
0	железная кровать	железная кровать	железная кровать купить
0	н59	н59	н59 ру
0	мдф дуб шамбор	мдф дуб шамбор	мдф дуб шамбор купить
0	тумба для ванной комнаты без раковины	тумба для ванной комнаты без раковины	тумба для ванной комнаты без раковины 60 см
0	архивный	архивный	архивный короб
0	амстер	амстер	амстер пиво
0	барзан	барзан	барзан ибрагим ат-тикрити
0	Борис гербер	борис гербер	борис гербер санкт-петербург
0	бормио	бормио	бормио горнолыжный курорт италии
0	кресло реклайнер	кресло реклайнер	кресло реклайнер купить
0	томск	томск	томск время
0	Кроа	кроа	кроа топ
0	н66	н66	н66 код по мкб 10
1	лорэдо шкаф	лоредо шкаф	лоредо шкаф на заказ
0	мелиса	мелиса	мелиса маккартни
0	амур	амур	амур йокерит 17 января
0	Стульч	стульч	стульч к.нет
0	06.14-02	06.14-02	шкаф для одежды олимп 06.14-02
0	3.02	3.02	ams302ak03 3.02 inch samsung 720 480 amoled module
0	Sherlock	sherlock	sherlock watch online in english with subtitles
0	Стул для кормления	стул для кормления	стул для кормления babyton
0	Полка в ванную	полка в ванную	полка в ванную комнату настенная
0	лоредо	лоредо	лоредо цвет мебели
0	диван кензо	диван кензо	диван кензо угловой
0	передняя панель для посудомоечной машины	передняя панель для посудомоечной машины	передняя панель для посудомоечной машины bosch
0	мюнхен	мюнхен	мюнхен фильм 2005
0	диван люксор	диван люксор	диван люксор пинскдрев
0	разноцветные	разноцветные	разноцветные машинки
1	навелла	новелла	новелла это
0	Балкон прихожая	балкон прихожая	можно ли класть разную плитку в квартире балкон прихожая
0	к-1	к-1	к-1 к-2 к-3 канализация
0	диван-кровать орландо	диван-кровать орландо	диван-кровать орландо lecco olive+накладки lecco olive+2 подушки monti 03
0	боск	боск	боск плюс ооо официальный сайт
0	Кресла из ротанга	кресла из ротанга	кресла из ротанга распродажа самые низкие цены
0	с 6	с 6	с 6 лет можно совершать мелкие бытовые сделки
0	зефир	зефир	зефир в домашних условиях рецепт с фото
1	стол со стеклом солют	стол со стеклом салют	стол со стеклом салют
0	шкаф платяной 2 дверный фирма столлайн	шкаф платяной 2 дверный фирма столлайн	шкаф платяной 2 дверный фирма столлайн официальный сайт
0	Севилья 3	севилья 3	севилья 3 0 краснодар
0	Н72	н72	н72 тюмень
0	Астана	астана	астана википедия
1	geas	gears	gears of war
0	спальный гарнитур амур с матрасом	спальный гарнитур амур с матрасом	спальный гарнитур амур с матрасом описание
0	рапсодия	рапсодия	рапсодия богемская смотреть
1	Комод тера	комод терра	комод терра столплит
1	лос анжелес	лос анджелес	лос анджелес точное время
0	тверь	тверь	тверь достопримечательности
0	эйва	эйва	эйва в аватаре
0	кордо	кордо	кордо сысоев
0	Диван монреаль	диван монреаль	диван монреаль купить в москве
0	мустанг	мустанг	мустанг джинс официальный сайт
0	06.19	06.19	06.19 что такое системные перечисления
0	венета	венета	венета систем москва
0	люстра	люстра	люстра потолочная
0	кожаный диван бруклин	кожаный диван бруклин	кожаный диван бруклин угловой цена
0	Из ротанга	из ротанга	мебель из ротанга
0	кресло-гамак	кресло-гамак	кресло-гамак подвесное
0	ласточка	ласточка	ласточка доставка обедов мытищи
0	рокки	рокки	рокки 4
1	Стенка даката	стенка дакота	стенка дакота столплит
0	пуфики	пуфики	пуфики в прихожую
0	Н65	н65	вкладыш рфтг00.40 l330 н65 направляющая l330 н13.5
0	Гатчина	гатчина	гатчина дворец официальный сайт
0	5.013	5.013	5.013 шкаф эко 1-дверный ясень шимо светлый\/ясень шимо светлый
