distance	query	complete_suggestion	full_complete
0	новь-софа	новь-софа	новь-софа изготовление на заказ в краснодаре
0	ЕШ-03 Шкаф с ящиками	еш-03 шкаф с ящиками	еш-03 шкаф с ящиками 600х440х2100 мм
0	кресло для отдыха кдо	кресло для отдыха кдо	кресло для отдыха кдо купить в москве
0	атланта	атланта	атланта сериал
0	Кантри кухни	кантри кухни	кантри кухни нефтеюганск
0	диваны аккордеон	диваны аккордеон	диваны аккордеон с ортопедическим матрасом и ящиком для белья
0	Изголовье	изголовье	изголовье для кровати купить отдельно в москве
0	Комод палермо	комод палермо	комод палермо отзывы
0	Вегас	вегас	вегас кунцево
0	Кухня Катя Венге Лайм	кухня катя венге лайм	кухня катя венге\/лайм отзывы
0	леонардо	леонардо	леонардо хобби гипермаркет
1	М стиль	м стиль	м-стиль мебель официальный сайт
0	глория-30д	глория-30д	купить набор мягкой мебели глория-30д цена
0	Основание настил	основание настил	основание настил в кровати
0	тумба приставная	тумба приставная	тумба приставная офисная
0	мв 9	мв 9	мв 9 сезон
0	шкаф-пенал некст	шкаф-пенал некст	шкаф-пенал некст 06.18-01
0	Угловой шкаф купе	угловой шкаф купе	угловой шкаф купе купить с фабрики дешево в москве столплит
0	СОЛО 10	соло 10	соло 10 стенка
0	шкаф комбинированный навигатор	шкаф комбинированный навигатор	шкаф комбинированный навигатор дуб каньон
0	легенда 6	легенда 6	легенда 6 детская кровать
1	Ручеек-1	ручеёк-1	ручеёк-1 10 м верхний забор
0	карло	карло	карло пазолини сайт
1	джоя-2	джоя-2	джоя 2 спальня
0	чехол на стул	чехол на стул	чехол на стул со спинкой
0	Колибри	колибри	колибри шатура
1	Н-93	н-93	н 93 нокиа
0	шкаф глория	шкаф глория	шкаф глория 2
0	диван вега аккордеон 140	диван вега аккордеон 140	диван вега аккордеон 140 см
0	дарина	дарина	дарина плиты официальный сайт
0	Табурет хром	табурет хром	табурет хром классик sontex umber 6230
0	с баром	с баром	диван угловой нью-йорк с баром левый
1	Стол журнальный №1	стол журнальный №1	стол журнальный 1 св мебель
2	двухяросная кровать с полками	двухъярусная кровать с полками	двухъярусная кровать с полками и ящиками
0	стол журнальный белый	стол журнальный белый	стол журнальный белый купить в спб
0	свинка пеппа	свинка пеппа	свинка пеппа 100 серий подряд новые при новые 2017 в хорошем качестве
0	тумба для	тумба для	тумба для обуви в прихожую
0	Стенка венера	стенка венера	стенка венера фото
0	пенал машенька	пенал машенька	пенал машенька пн 201
0	книжные шкафы	книжные шкафы	книжные шкафы для домашней библиотеки
0	шкаф ширина 600	шкаф ширина 600	шкаф ширина 600 мм
0	Кресло конрад	кресло конрад	кресло конрад боровичи
0	Тумба 800	тумба 800	тумба 800 мд п-5
0	onega	onega	onega lake
0	шоколад	шоколад	шоколад радио
0	стол юпитер	стол юпитер	стол юпитер малайзия
0	тумба для тв	тумба для тв	тумба для тв монреаль белый глянец
0	кресло вега 8	кресло вега 8	кресло вега 8 элегия
0	Кровать односпальная	кровать односпальная	кровать односпальная 90х200 с матрасом распродажа
0	керамика	керамика	керамика будущего
0	принцесса	принцесса	принцесса и лягушка мультфильм 2009
0	пеналы	пеналы	пеналы для школы
0	гостиная флора	гостиная флора	гостиная флора фото
0	мини стенка эссен	мини стенка эссен	мини стенка эссен отзывы
0	ронда кровать	ронда кровать	ронда кровать кр-160
0	байкал	байкал	байкал сервис
0	Престиж	престиж	престиж фильм 2006
0	кухонные столы со столешницей	кухонные столы со столешницей	кухонные столы со столешницей из искусственного камня
0	качалка	качалка	качалка для детей
1	аврова 24	аврора 24	аврора 24 белгород официальный сайт
0	тумба прикроватная лдсп	тумба прикроватная лдсп	тумба прикроватная лдсп 450х450х700мм
2	шкаф комбинированный фентази	шкаф комбинированный фэнтези	шкаф комбинированный фэнтези с ящ 2-створчатый
0	альянс-3 2000	альянс-3 2000	шкаф-купе альянс-3 2000
0	выкатное кресло кровать	выкатное кресло кровать	выкатное кресло кровать без подлокотников
0	бергамо	бергамо	бергамо италия достопримечательности
0	кровать массив 900х2000	кровать массив 900х2000	кровать массив 900х2000
0	Бася	бася	бася крамарова инстаграм
0	бланка	бланка	бланка суарес
0	Кровать Модерн	кровать модерн	кровать модерн 160х200
0	олимп	олимп	олимп трейд
0	ручеек	ручеек	ручеек клуб знакомств вечеринки
0	стенка марта 11	стенка марта 11	стенка марта 11 купить в москве недорого
0	тиволи	тиволи	тиволи италия
0	машенька шк-102	машенька шк-102	машенька шк-102 шкаф 2-створчатый
0	диван вега 26	диван вега 26	диван вега 26 элегия
0	кухня настя угловая	кухня настя угловая	кухня настя угловая купить в москве
0	шкаф для обуви	шкаф для обуви	шкаф для обуви в прихожую
0	шкаф угловой с витриной	шкаф угловой с витриной	шкаф угловой с витриной для посуды в гостиную цвет венге\/дуб молочный
0	шкаф фиеста 3-х ств	шкаф фиеста 3-х ств	шкаф фиеста 3-х ств венге лоредо
0	Прихожая-купе Болеро	прихожая-купе болеро	прихожая-купе болеро купить в санкт-петербурге
0	Комод лофт	комод лофт	комод лофт 1200
0	Стул массив полумягкий	стул массив полумягкий	стул массив полумягкий боровичи
0	прихожая Виктория	прихожая виктория	прихожая виктория 12 венге\/дуб молочный
0	атлантида 7	атлантида 7	атлантида 7 стенка
0	Детская тахта Машинка	детская тахта машинка	детская тахта машинка купить
0	Сатурн М04	сатурн м04	сатурн м 04 стол журнальный
0	ясень шимо	ясень шимо	ясень шимо светлый
0	вега вешалка с зеркалом	вега вешалка с зеркалом	вега вешалка с зеркалом вш 1
0	ольха	ольха	ольха фото дерева и листьев
0	диваны	диваны	диваны моон официальный сайт
0	альфа-1	альфа-1	альфа-1 глобулин повышен
1	Атлантида 6	атлантида 1	смотреть фильмы онлайн звёздные врата атлантида 1 2 3 4 5 6 7 8 9
0	моника 1	моника 1	моника 1 сезон
0	стол журнальный сж-4	стол журнальный сж-4	стол журнальный сж-4 венге
1	Диван Вега-44	диван вега-44	диван вега 44 элегия
1	Комод КМ-02 РОНДА	комод км-02 ронда	комод км 02 ронда
0	двойная кровать	двойная кровать	двойная кровать выдвижная для подростков
0	тумба Амели	тумба амели	тумба амели хофф
0	шкаф ясень	шкаф ясень	шкаф ясень шимо светлый
1	матрас 80*200	матрас 80*200	матрас 80 200 екатеринбург
0	легенда	легенда	легенда фильм 2015
0	письменный стол	письменный стол	письменный стол купить
0	Тахта Ракушка	тахта ракушка	тахта ракушка купить в спб
0	ТУМБА ПОД ОБУВЬ	тумба под обувь	тумба под обувь с сиденьем в прихожую
1	кровать - стол	кровать - стол	кровать стол трансформер купить в спб
0	шкаф бланка	шкаф бланка	шкаф бланка 4-ех дверный
0	орех	орех	орех макадамия
0	стол раскладной с ящиком	стол раскладной с ящиком	стол раскладной с ящиком 6-02.120тм
0	диван выкатной	диван выкатной	диван выкатной вперед с ящиком для белья купить в москве
0	лофт 2	лофт 2	лофт 2 на автозаводской
0	шкаф угловой эко	шкаф угловой эко	шкаф угловой эко 5.18
0	альянс -3	альянс -3	альянс -3 башкирия
0	онега шк	онега шк	онега шк 35
