distance	query	complete_suggestion	full_complete
2	ch 93	ch	а\/ш 215\/55 16 h kr26 93 ch kumho tbl
1	Фентези	феңтези	феңтези фильмы 2017 2018
1	недорогую с	недорогую	купить недорогую кровать с матрасом в интернет магазине недорого
1	м 01	01	авария на трассе м 4 дон в воронежской области 09 01 2019
2	1,5м	5м	дома серии 1 515 5м
2	еп 01	01	tg 01 квт
1	КМ 1	км	1 миля сколько км
2	Мамбо сб	мамбо	мамбо сб-2371 шкаф 2-х дверный
1	Фентези	феңтези	феңтези смотреть бесплатно в высоком качестве
2	T 10 B	10	геометрия 10 класс задачник е в потоскуев л и звавич
0	герта 4	герта 4	фортуна герта 4 1
1	Св 7	св	гостиная 7 св мебель
1	м 01	01	новые изменения с 01 10 2018 по сзв м и сзв стаж
2	салют	салют-7	салют-7 фильм 2017
0	поло 1	поло 1	марко поло 1 сезон
2	T 10 B	10	геометрия 10 класс задачник е в потоскуев л и звавич 2004
1	стол м д	стол мэд	заставки на рабочий стол мэд макс
2	еп 01	01	tg 01 паяльник
1	стол м д	стол мэд	картинки на рабочий стол мэд макс
2	ch 93	93	в 389 ср 93
0	салют	салют	салют 7
0	дешевыйдиван	дешевый диван	дешевый диван купить
1	Св 4	св	св георгий ски и спа отель банско 4
2	ДСВ	дсв-3	дсв-3
1	сж 3	сж	мажор 3 сж
2	шкаф 1000	шкаф ce 1000	r5ce1083 навесной шкаф ce 1000 x 800 x 300мм ip55 1 шт
2	T 10 B	10	впр по окружающему миру 4 класс е в волкова г и цитович 10 вариантов
1	ск 9	ск	ифнс 9 по ск
1	Н 104	104	y 104 конденсатор
0	дивансофа юлия	диван софа юлия	диван софа юлия с ящиками купить
2	св 18	18	cd led 18
1	Фентези	феңтези	феңтези ворлд электронная библиотека
2	км 04	04	лыжные гонки лахти женщины 10 км классический стиль 04 03 2018
0	дивансофа юлия	диван софа юлия	диван софа юлия с ящиками купить за 8 тысяч
1	н 59	59	приказ 59 н минтруда
2	ДСВ	дсв-3	дсв-3 кто сдает 2018
0	стеллаж круз	стеллаж круз	стеллаж круз 1
2	ДСВ	дсв-3	дсв-3 что это такое куда сдавать
2	св 18	18	на отрезке cd равном 18 см отметили точку к такую
1	Св 4	св	aqua azur 4 св константин и елена
0	матрасаскона	матрас аскона	матрас аскона купить
2	Мамбо сб	мамбо	мамбо сб-2878 шкаф дуб сонома\/белый
1	2.06т	2.06	ака сигнум 7272м мфт 2.06 прошивка отзывы
1	2.06т	2.06	2.06 $
1	ТВ-С2	твс 2	твс 2 дтс самолет
2	ch 93	ch	215\/55 16 h kr26 93 ch kumho tbl
2	мн 15	15	динамо мн витязь 15 января
2	СН63	63	сн 245 63
0	матрасаскона	матрас аскона	матрас аскона balance forma отзывы
2	стеллаж круз	стеллаж круз-6	стеллаж круз-6
2	Софа нова	сафонова	сафонова елена всеволодовна
1	Ск 9	ск	поурочка по алгебре 9 дорофеев ск
1	5.13z	5.13	qt 5.13
1	недорогую с	недорогую	купить недорогую квартиру в москве рядом с метро
2	км 03	03	авария на 58 км мкад 03 12 2018
2	км 01	км	11 01 2019 биатлон оберхоф спринт 10 км мужчины
2	мн 12	мн	между двумя точечными заряженными телами сила электрического 12 мн
1	90х2000	90 2000	скачать музыку бесплатно 90 2000 х годов русские песни танцевальные
1	90х2000	90 2000	фильмы 90 2000 х годов зарубежные
1	поло 1	поло	марко поло сериал 1 сезон
0	дешевыйдиван	дешевый диван	дешевый диван выкатной вперед с ящиком для белья
1	ск 9	ск	ст 9 ск рф
2	км 01	км	биатлон 17 01 19 мужчины спринт 10 км смотреть онлайн
1	недорогую с	недорогую	купить недорогую студию в некрасовке с московской пропиской
1	Ск 9	ск	ст 9 ск рф
1	Ск 9	ск	ифнс 9 по ск
1	5.13z	5.13	5.13 сп 60.13330.2016
1	герта 4	герта	4 герта мюллер сердце-зверь
2	дт 445	445	трактора дт 20 т25 и самоделки и универсал 445
2	св 18	18	cd led 18 4000k
1	стол м д	стол мэд	обои на рабочий стол мэд макс
1	ТВ-С2	твс 2	твс 2 дтс
0	дт 445	дт 445	стол обеденный дт 445
1	м 2.05	2.05	двухканальный измеритель температуры мит 2.05 м
2	Софа нова	сафонова	сафонова ольга инстаграм
2	мв 27	мв	spiderman 3 technol tahdownland ppsspp 27 мв
0	тахта двух местная	тахта двухместная	тахта двухместная купить в рб
2	Олимп 15	олимп мт 15	весы порционные 15кг олимп мт 15 в1ж д а мидл
2	км 03	км	0 03 км сколько метров
2	св18	св	св 18хма
1	ск 9	ск	поурочка по алгебре 9 дорофеев ск
1	фентези	феңтези	феңтези ворлд электронная библиотека
0	Строй материалы	стройматериалы	стройматериалы деулино сергиев посад
1	фентези	феңтези	феңтези смотреть бесплатно в высоком качестве
1	ТВ-С2	твс 2	твс 2 мс
1	н 59	59	приказ минтруда 59 н от 29.01.14 об утверждении адм регламента для мсэ
2	Мамбо сб	мамбо	мамбо сб-2372 кровать
