siteid,amount,st
7,8650,max&co
7,8367,max+mara
7,7071,пуховик
7,5512,пальто
7,5183,maxmara
7,4848,etro
7,4793,burberry
7,3948,weekend
7,3734,sportmax
7,3510,max mara
7,3199,stone+island
7,3002,пуховики
7,2957,платье
7,2740,marina+rinaldi
7,2701,paul+smith
7,2549,maxmara+weekend
7,2464,moncler
7,2260,рюкзак
7,2227,moschino
7,2160,stone island
7,2091,парка
7,2022,weekend+max+mara
7,1760,ermanno+scervino
7,1740,шапка
7,1701,платья
7,1698,weekend+maxmara
7,1683,persona
7,1600,maxmara weekend
7,1527,max+co
7,1459,gucci
7,1384,сумка
7,1201,herno
7,1198,jil+sander
7,1178,weekend max mara
7,1127,persona+by+marina+rinaldi
7,1112,s+max+mara
7,1103,жилет
7,1098,paul smith
7,1092,пальто+max+mara
7,1086,undefined
7,1043,lancel
7,1042,marina rinaldi
7,1011,кошелек
7,1009,add
7,1004,longchamp
7,964,юбка
7,883,ремень
7,881,спортивный костюм
7,869,coccinelle
7,866,сумки
7,865,запонки
7,855,пальто max mara
7,834,brooks+brothers
7,833,marina
7,829,перчатки
7,827,кардиган
7,820,шарф
7,805,куртка
7,798,bosco
7,738,зонт
7,725,галстук
7,662,max+mara+
7,660,платок
7,642,джинсы
7,635,купальник
7,628,водолазка
7,621,комбинезон
7,621,ermanno scervino
7,616,max@co
7,615,aeronautica militare
7,610,косметичка
7,610,max
7,604,la+perla
7,602,kenzo
7,597,футболка
7,597,шапки
7,570,weekend maxmara
7,567,бейсболка
7,554,юбки
7,547,armani
7,541,свитер
7,540,свитшот
7,534,носки
7,532,scervino
7,528,bally
7,528,alberta+ferretti
7,524,сумка+etro
7,519,woolrich
7,518,шуба
7,515,пуховик maxmara
7,510,s max mara
7,489,поиск
7,486,n21
7,476,bosco+fresh
7,462,очки
7,446,пуховик+
7,440,бархат
7,435,плащ
7,421,дубленка
7,419,брошь
7,416,шорты
7,415,платье+max+mara
7,409,persona by marina rinaldi
7,407,weekend+
7,394,тренч
